run,episode_id,control_step,physics_step,sim_time,link,sensor_id,robot_id,current_force_N,history_max_N,terminal_control_step,root_height,geometry_min_z,contact_object,contact_points,contact_separations,evidence,first_terminal_base_contact
initial_isolation,0,10,37,0.185,left_wrist_yaw_link,7,22,36.698951721191406,36.698951721191406,10,0.7805705666542053,0.5527033917605877,/World/envs/env_0/Robot/left_hip_roll_link,"[[[3.8439369201660156, -1.4903568029403687, 0.6090461611747742]]]",[[[0.0016754716634750366]]],PhysX filtered contact matrix,True
initial_isolation,0,10,37,0.185,left_hip_roll_link,19,16,36.698951721191406,36.698951721191406,10,0.7805705666542053,0.3992406241595745,/World/envs/env_0/Robot/left_wrist_yaw_link,"[[[3.8439369201660156, -1.4903568029403687, 0.6090461611747742]]]",[[[0.0016754716634750366]]],PhysX filtered contact matrix,True
initial_isolation,1,11,41,0.20500000000000002,left_wrist_yaw_link,7,22,26.062402725219727,26.062402725219727,11,0.7756015658378601,0.5430621020495892,/World/envs/env_1/Robot/left_hip_roll_link,"[[[3.508680820465088, 1.2979623079299927, 0.6201958656311035]]]",[[[0.001596987247467041]]],PhysX filtered contact matrix,True
initial_isolation,1,11,41,0.20500000000000002,left_hip_roll_link,19,16,26.062402725219727,26.062402725219727,11,0.7756015658378601,0.397796880453825,/World/envs/env_1/Robot/left_wrist_yaw_link,"[[[3.508680820465088, 1.2979623079299927, 0.6201958656311035]]]",[[[0.001596987247467041]]],PhysX filtered contact matrix,True
initial_isolation,3,11,42,0.21,left_wrist_yaw_link,7,22,32.94171905517578,32.94171905517578,11,0.7667168974876404,0.5549116842448711,/World/envs/env_3/Robot/left_hip_roll_link,"[[[1.5816253423690796, 0.9383981823921204, 0.6240783929824829]]]",[[[0.0006095021963119507]]],PhysX filtered contact matrix,True
initial_isolation,3,11,42,0.21,left_hip_roll_link,19,16,32.94171905517578,32.94171905517578,11,0.7667168974876404,0.39805687591433525,/World/envs/env_3/Robot/left_wrist_yaw_link,"[[[1.5816253423690796, 0.9383981823921204, 0.6240783929824829]]]",[[[0.0006095021963119507]]],PhysX filtered contact matrix,True
initial_isolation,4,11,43,0.215,left_wrist_yaw_link,7,22,31.111621856689453,31.111621856689453,11,0.7775978446006775,0.5381360165774822,/World/envs/env_4/Robot/left_hip_roll_link,"[[[-1.389994502067566, -1.446305274963379, 0.6193007826805115]]]",[[[0.001081712543964386]]],PhysX filtered contact matrix,True
initial_isolation,4,11,43,0.215,left_hip_roll_link,19,16,31.111621856689453,31.111621856689453,11,0.7775978446006775,0.38706887885928154,/World/envs/env_4/Robot/left_wrist_yaw_link,"[[[-1.389994502067566, -1.446305274963379, 0.6193007826805115]]]",[[[0.001081712543964386]]],PhysX filtered contact matrix,True
initial_isolation,5,11,42,0.21,right_wrist_yaw_link,14,23,44.108375549316406,44.108375549316406,11,0.7694007158279419,0.5216979496181011,/World/envs/env_5/Robot/right_hip_roll_link,"[[[-0.9434027671813965, 1.3509935140609741, 0.583031177520752]]]",[[[0.0009861364960670471]]],PhysX filtered contact matrix,True
initial_isolation,5,11,42,0.21,right_hip_roll_link,25,17,44.108375549316406,44.108375549316406,11,0.7694007158279419,0.39984361454844475,/World/envs/env_5/Robot/right_wrist_yaw_link,"[[[-0.9434027671813965, 1.3509935140609741, 0.583031177520752]]]",[[[0.0009861364960670471]]],PhysX filtered contact matrix,True
initial_isolation,6,11,43,0.215,left_wrist_yaw_link,7,22,40.99842834472656,40.99842834472656,11,0.7771413326263428,0.538108479231596,/World/envs/env_6/Robot/left_hip_roll_link,"[[[-3.480227470397949, -1.5655845403671265, 0.5957813858985901]]]",[[[0.0009673982858657837]]],PhysX filtered contact matrix,True
initial_isolation,6,11,43,0.215,left_hip_roll_link,19,16,40.99842834472656,40.99842834472656,11,0.7771413326263428,0.3932623378932476,/World/envs/env_6/Robot/left_wrist_yaw_link,"[[[-3.480227470397949, -1.5655845403671265, 0.5957813858985901]]]",[[[0.0009673982858657837]]],PhysX filtered contact matrix,True
initial_isolation,7,11,44,0.22,left_wrist_yaw_link,7,22,3.714165210723877,3.714165210723877,11,0.7760438323020935,0.5582410208880901,/World/envs/env_7/Robot/left_hip_roll_link,"[[[-3.443145751953125, 1.3491511344909668, 0.6101292371749878]]]",[[[0.002134956419467926]]],PhysX filtered contact matrix,True
initial_isolation,7,11,44,0.22,left_hip_roll_link,19,16,3.714165210723877,3.714165210723877,11,0.7760438323020935,0.3978165499866009,/World/envs/env_7/Robot/left_wrist_yaw_link,"[[[-3.443145751953125, 1.3491511344909668, 0.6101292371749878]]]",[[[0.002134956419467926]]],PhysX filtered contact matrix,True
initial_isolation,2,53,210,1.05,right_wrist_yaw_link,14,23,18.418840408325195,18.418840408325195,53,0.30828607082366943,0.0014631189405918121,未确认,[],[],net force only,True
nominal_joint_vel_verified,0,12,45,0.225,left_wrist_yaw_link,7,22,30.801990509033203,30.801990509033203,12,0.7774075269699097,0.5604705326259136,/World/envs/env_0/Robot/left_hip_roll_link,"[[[0.08139482140541077, 0.1553386151790619, 0.6321757435798645]]]",[[[0.0010103285312652588]]],PhysX filtered contact matrix,True
nominal_joint_vel_verified,0,12,45,0.225,right_wrist_yaw_link,14,23,12.174522399902344,12.174522399902344,12,0.7774075269699097,0.56020612642169,/World/envs/env_0/Robot/right_hip_roll_link,"[[[0.0815269872546196, -0.15520653128623962, 0.6321356892585754]]]",[[[0.0014821290969848633]]],PhysX filtered contact matrix,True
nominal_joint_vel_verified,0,12,45,0.225,left_hip_roll_link,19,16,30.801990509033203,30.801990509033203,12,0.7774075269699097,0.39115942642092705,/World/envs/env_0/Robot/left_wrist_yaw_link,"[[[0.08139482140541077, 0.1553386151790619, 0.6321757435798645]]]",[[[0.0010103285312652588]]],PhysX filtered contact matrix,True
nominal_joint_vel_verified,0,12,45,0.225,right_hip_roll_link,25,17,12.174522399902344,12.174522399902344,12,0.7774075269699097,0.3910430185496807,/World/envs/env_0/Robot/right_wrist_yaw_link,"[[[0.0815269872546196, -0.15520653128623962, 0.6321356892585754]]]",[[[0.0014821290969848633]]],PhysX filtered contact matrix,True
zero_isolation,0,10,40,0.2,left_wrist_yaw_link,7,22,50.87089920043945,50.87089920043945,10,0.7791374921798706,0.5588654391467571,/World/envs/env_0/Robot/left_hip_roll_link,"[[[3.8481907844543457, -1.502031683921814, 0.6300212740898132]]]",[[[0.00023090094327926636]]],PhysX filtered contact matrix,True
zero_isolation,0,10,40,0.2,left_hip_roll_link,19,16,50.87089920043945,50.87089920043945,10,0.7791374921798706,0.3984654061496258,/World/envs/env_0/Robot/left_wrist_yaw_link,"[[[3.8481907844543457, -1.502031683921814, 0.6300212740898132]]]",[[[0.00023090094327926636]]],PhysX filtered contact matrix,True
zero_isolation,5,10,38,0.19,right_wrist_yaw_link,14,23,98.01532745361328,98.01532745361328,10,0.7729721069335938,0.5362942926585674,/World/envs/env_5/Robot/right_hip_roll_link,"[[[-0.9582046866416931, 1.3443249464035034, 0.5898911356925964]]]",[[[0.0015541166067123413]]],PhysX filtered contact matrix,True
zero_isolation,5,10,38,0.19,right_hip_roll_link,25,17,98.01532745361328,98.01532745361328,10,0.7729721069335938,0.3987418822944164,/World/envs/env_5/Robot/right_wrist_yaw_link,"[[[-0.9582046866416931, 1.3443249464035034, 0.5898911356925964]]]",[[[0.0015541166067123413]]],PhysX filtered contact matrix,True
zero_isolation,1,11,43,0.215,left_wrist_yaw_link,7,22,12.042767524719238,12.042767524719238,11,0.7774634957313538,0.5477784387767315,/World/envs/env_1/Robot/left_hip_roll_link,"[[[3.5125670433044434, 1.297641634941101, 0.6260351538658142]]]",[[[0.001288972795009613]]],PhysX filtered contact matrix,True
zero_isolation,1,11,43,0.215,left_hip_roll_link,19,16,12.042767524719238,12.042767524719238,11,0.7774634957313538,0.39822549745440483,/World/envs/env_1/Robot/left_wrist_yaw_link,"[[[3.5125670433044434, 1.297641634941101, 0.6260351538658142]]]",[[[0.001288972795009613]]],PhysX filtered contact matrix,True
zero_isolation,3,11,41,0.20500000000000002,left_wrist_yaw_link,7,22,26.893970489501953,26.893970489501953,11,0.7688831686973572,0.5593732111155987,/World/envs/env_3/Robot/left_hip_roll_link,"[[[1.5744407176971436, 0.9425605535507202, 0.6282968521118164]]]",[[[0.0014343559741973877]]],PhysX filtered contact matrix,True
zero_isolation,3,11,41,0.20500000000000002,left_hip_roll_link,19,16,26.893970489501953,26.893970489501953,11,0.7688831686973572,0.39832768961787224,/World/envs/env_3/Robot/left_wrist_yaw_link,"[[[1.5744407176971436, 0.9425605535507202, 0.6282968521118164]]]",[[[0.0014343559741973877]]],PhysX filtered contact matrix,True
zero_isolation,4,11,41,0.20500000000000002,right_wrist_yaw_link,14,23,41.75111389160156,41.75111389160156,11,0.7792500853538513,0.5577563159167767,/World/envs/env_4/Robot/right_hip_roll_link,"[[[-1.4258934259414673, -1.7639931440353394, 0.6102787256240845]]]",[[[0.0015577524900436401]]],PhysX filtered contact matrix,True
zero_isolation,4,11,41,0.20500000000000002,right_hip_roll_link,25,17,41.75111389160156,41.75111389160156,11,0.7792500853538513,0.4002390317618847,/World/envs/env_4/Robot/right_wrist_yaw_link,"[[[-1.4258934259414673, -1.7639931440353394, 0.6102787256240845]]]",[[[0.0015577524900436401]]],PhysX filtered contact matrix,True
zero_isolation,6,11,44,0.22,left_wrist_yaw_link,7,22,46.876434326171875,46.876434326171875,11,0.775601863861084,0.5411971919238567,/World/envs/env_6/Robot/left_hip_roll_link,"[[[-3.4768199920654297, -1.5664992332458496, 0.6162750124931335]]]",[[[0.0002538710832595825]]],PhysX filtered contact matrix,True
zero_isolation,6,11,44,0.22,left_hip_roll_link,19,16,46.876434326171875,46.876434326171875,11,0.775601863861084,0.3909725062549114,/World/envs/env_6/Robot/left_wrist_yaw_link,"[[[-3.4768199920654297, -1.5664992332458496, 0.6162750124931335]]]",[[[0.0002538710832595825]]],PhysX filtered contact matrix,True
zero_isolation,7,11,42,0.21,right_wrist_yaw_link,14,23,44.381927490234375,44.381927490234375,11,0.7765299677848816,0.5475832931697369,/World/envs/env_7/Robot/right_hip_roll_link,"[[[-3.1714611053466797, 1.5057274103164673, 0.6254162788391113]]]",[[[0.0011125430464744568]]],PhysX filtered contact matrix,True
zero_isolation,7,11,42,0.21,right_hip_roll_link,25,17,44.381927490234375,44.381927490234375,11,0.7765299677848816,0.3939008228480816,/World/envs/env_7/Robot/right_wrist_yaw_link,"[[[-3.1714611053466797, 1.5057274103164673, 0.6254162788391113]]]",[[[0.0011125430464744568]]],PhysX filtered contact matrix,True
