controller,action_mode,mode,case_id,control_step,physics_step,contact_time_s,link_a,link_b,contact_force_N,contact_points,self_collision,primary_fall_at_sample,primary_fall_same_control_step,episode_primary_fall,causes_primary_fall,classification,evidence,root_height_m,root_orientation_quat,root_tilt_rad,root_state,joint_position,joint_velocity
model_200,hard_target_clip,matrix,2,1,2,0.01,right_ankle_roll_link,unresolved_sensor_net,4.380136013031006,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8198349475860596,"[0.9045604467391968, 0.001117882551625371, -0.0007204734720289707, -0.4263429045677185]",0.002652046795558492,"[1.527036190032959, -1.4826505184173584, 0.8198349475860596, 0.9045604467391968, 0.001117882551625371, -0.0007204734720289707, -0.4263429045677185, 0.10660576820373535, -0.10248765349388123, -0.037134889513254166, 0.13275791704654694, -0.23218026757240295, 0.038674939423799515]","[0.18038256466388702, 0.21425609290599823, 0.0013375518610700965, 0.1755392700433731, -0.20600733160972595, 0.0004891793360002339, -0.004404154606163502, 0.00241174572147429, -0.0011930592590942979, 0.6878353357315063, 0.6156228184700012, -0.36414635181427, -0.28835049271583557, -0.006287970580160618, -0.003880986012518406, 0.0004231373895891011, 0.0006041286396794021, 0.0029408084228634834, 8.548513142159209e-05, 0.0010084514506161213, 0.0009258873760700226, 0.00010298450069967657, 0.00038991167093627155, 0.7657830119132996, 0.5459742546081543, -0.29306355118751526, -0.4041092097759247, -0.0032539197709411383, -0.0026097039226442575]","[0.4848752021789551, 0.45359429717063904, 0.21750639379024506, 0.2068965584039688, 0.16510793566703796, 0.030898960307240486, -0.6995371580123901, 0.4109383225440979, -0.15761013329029083, -0.869970440864563, -0.4892030954360962, 0.28816598653793335, -0.3576728105545044, -0.8702791333198547, -0.5425649881362915, 0.07929809391498566, 0.113854318857193, 0.3890325427055359, -0.011017471551895142, 0.09974725544452667, 0.05231006443500519, -0.008387274108827114, 0.06882443279027939, -1.5764814615249634, 0.5586504340171814, -0.38434186577796936, 0.17313016951084137, -0.4481006860733032, -0.33321934938430786]"
model_200,hard_target_clip,matrix,2,1,3,0.015,right_ankle_roll_link,unresolved_sensor_net,23.009653091430664,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8194247484207153,"[0.90461665391922, 0.0017043031984940171, -0.0011059525422751904, -0.42622119188308716]",0.004070640505899468,"[1.527807354927063, -1.4830458164215088, 0.8194247484207153, 0.90461665391922, 0.0017043031984940171, -0.0011059525422751904, -0.42622119188308716, 0.11188995838165283, -0.10963290929794312, -0.08110986649990082, 0.15152131021022797, -0.24143894016742706, 0.062480099499225616]","[0.18311212956905365, 0.21698689460754395, 0.002505980199202895, 0.17652682960033417, -0.20501333475112915, 0.00019614904886111617, -0.008292845450341702, 0.004774638917297125, -0.0017562726279720664, 0.6830371022224426, 0.6127954125404358, -0.36267393827438354, -0.29038262367248535, -0.010715280659496784, -0.00666210288181901, 0.0010116063058376312, 0.0016944637754932046, 0.004820110276341438, -8.149632776621729e-05, 0.0010933600133284926, 0.002021768596023321, -2.0873549146926962e-05, 0.0007963025709614158, 0.7569420337677002, 0.5495806336402893, -0.29522475600242615, -0.4015478789806366, -0.005520978011190891, -0.005046416539698839]","[0.5974426865577698, 0.6158381700515747, 0.24800141155719757, 0.19675227999687195, 0.234181210398674, -0.09096954762935638, -0.830050528049469, 0.5183367133140564, -0.096410371363163, -1.033193826675415, -0.623388409614563, 0.29996612668037415, -0.41150176525115967, -0.8843396902084351, -0.5581187009811401, 0.13039208948612213, 0.22195105254650116, 0.3605399429798126, -0.04986138269305229, -0.018643058836460114, 0.11219408363103867, -0.038086775690317154, 0.09014540910720825, -1.894626498222351, 0.7276940941810608, -0.4661962389945984, 0.3955937922000885, -0.45171353220939636, -0.4153216481208801]"
model_200,hard_target_clip,matrix,2,1,4,0.02,right_ankle_roll_link,unresolved_sensor_net,37.803096771240234,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8187994956970215,"[0.9047070145606995, 0.002364148385822773, -0.001481417566537857, -0.4260251224040985]",0.005577966049068251,"[1.5286126136779785, -1.4834423065185547, 0.8187994956970215, 0.9047070145606995, 0.002364148385822773, -0.001481417566537857, -0.4260251224040985, 0.11730800569057465, -0.11390899121761322, -0.1239544153213501, 0.18485485017299652, -0.24958692491054535, 0.1024312973022461]","[0.18622399866580963, 0.22043919563293457, 0.0037214872427284718, 0.17734350264072418, -0.20368604362010956, -0.0008509884937666357, -0.012628696858882904, 0.0075352489948272705, -0.0019007144728675485, 0.6777121424674988, 0.6094655394554138, -0.3612687289714813, -0.2926000654697418, -0.01502253022044897, -0.009397796355187893, 0.001890755258500576, 0.0033804585691541433, 0.006468592211604118, -0.00044042247463949025, 0.0004787701182067394, 0.003624523989856243, -0.00027678083279170096, 0.0012845973251387477, 0.7470152378082275, 0.5538620352745056, -0.2976588010787964, -0.39782676100730896, -0.0077075171284377575, -0.0079537658020854]","[0.649942934513092, 0.7491576075553894, 0.24257811903953552, 0.14810527861118317, 0.30041804909706116, -0.254808247089386, -0.8939217329025269, 0.5790032744407654, 0.002234171610325575, -1.102280616760254, -0.7016804814338684, 0.2717132866382599, -0.4301464259624481, -0.8404436707496643, -0.5356239080429077, 0.1888357400894165, 0.3359508514404297, 0.307142436504364, -0.08647341281175613, -0.16815419495105743, 0.22116424143314362, -0.06157432124018669, 0.10295409709215164, -2.0445024967193604, 0.8491076827049255, -0.503402054309845, 0.6232788562774658, -0.4252025783061981, -0.4977874457836151]"
model_200,hard_target_clip,matrix,2,2,5,0.025,right_ankle_roll_link,unresolved_sensor_net,135.7109375,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.81801438331604,"[0.9049387574195862, 0.0031405079644173384, -0.001849541673436761, -0.42552605271339417]",0.007291610158612642,"[1.5294983386993408, -1.483813762664795, 0.81801438331604, 0.9049387574195862, 0.0031405079644173384, -0.001849541673436761, -0.42552605271339417, 0.13489100337028503, -0.1176379844546318, -0.15239217877388, 0.22000980377197266, -0.2676766514778137, 0.3045424520969391]","[0.18960268795490265, 0.2252694070339203, 0.005185535177588463, 0.1773308366537094, -0.20254838466644287, -0.0030424343422055244, -0.016663458198308945, 0.011438176035881042, -0.00198390893638134, 0.6712822914123535, 0.6046022176742554, -0.3602355122566223, -0.2957283854484558, -0.016964377835392952, -0.008867407217621803, 0.0028246089350432158, 0.006004065740853548, 0.008523308672010899, -7.899486809037626e-05, -0.0018005375750362873, 0.007662064861506224, -0.0011827675625681877, 0.0016376409912481904, 0.7357683181762695, 0.558564305305481, -0.2975728511810303, -0.39372485876083374, -0.007604962680488825, -0.012857519090175629]","[0.7223652601242065, 1.1354786157608032, 0.3239629864692688, -0.07178522646427155, 0.20894181728363037, -0.4590774178504944, -0.7681128978729248, 0.9187179207801819, -0.048671137541532516, -1.4611891508102417, -1.1702381372451782, 0.194427028298378, -0.6266559362411499, -0.1434439718723297, 0.44999513030052185, 0.11987487226724625, 0.42307016253471375, 0.46643704175949097, 0.15603269636631012, -0.5928866863250732, 0.591459333896637, -0.24762457609176636, 0.059535566717386246, -2.394834280014038, 0.996700644493103, 0.3022523522377014, 0.4584363102912903, 0.25803765654563904, -0.7704288363456726]"
model_200,hard_target_clip,matrix,0,2,6,0.03,left_ankle_roll_link,unresolved_sensor_net,192.86521911621094,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8145636916160583,"[0.9080771207809448, 0.006089134607464075, -0.0012695774203166366, -0.4187568724155426]",0.012439278640130927,"[3.278531551361084, -0.8057336807250977, 0.8145636916160583, 0.9080771207809448, 0.006089134607464075, -0.0012695774203166366, -0.4187568724155426, 0.3137926161289215, 0.06296897679567337, -0.2806771695613861, 0.21572011709213257, -0.24333372712135315, 0.7214725017547607]","[0.22931967675685883, 0.19895105063915253, 0.004518120549619198, 0.18960702419281006, -0.23172160983085632, -0.009538070298731327, -0.016075266525149345, 0.014482097700238228, -0.009846687316894531, 0.5590018630027771, 0.6483872532844543, -0.374132364988327, -0.3118053376674652, -0.005700117442756891, -0.004504609387367964, 0.006268640048801899, 0.00688465591520071, 0.006963029969483614, 0.0022760445717722178, -0.0006752172484993935, -0.01170297060161829, -0.0037508567329496145, 0.001923754345625639, 0.581126868724823, 0.6673509478569031, -0.37888357043266296, -0.41404685378074646, -0.004320848733186722, -0.011320851743221283]","[0.29511764645576477, 2.3529179096221924, 1.290352463722229, -0.1842772215604782, 0.614341139793396, -0.1894650161266327, -0.3664405345916748, 0.37702512741088867, 0.07220384478569031, -0.5386297702789307, -2.6425437927246094, -2.022866725921631, -0.27749595046043396, 0.24636192619800568, -0.21958905458450317, 0.033178046345710754, 0.10385710000991821, 0.5063045024871826, 0.26901981234550476, 0.9219973087310791, -0.5905517339706421, -0.0886123925447464, 0.21208365261554718, 0.7670432925224304, -2.374798059463501, 3.9355080127716064, -1.7848639488220215, -1.398754596710205, 0.772853672504425]"
model_200,hard_target_clip,matrix,2,2,6,0.03,right_ankle_roll_link,unresolved_sensor_net,119.19439697265625,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8170754909515381,"[0.9053620100021362, 0.003995053004473448, -0.0021985822822898626, -0.4246160387992859]",0.00912187815519835,"[1.5304642915725708, -1.484174370765686, 0.8170754909515381, 0.9053620100021362, 0.003995053004473448, -0.0021985822822898626, -0.4246160387992859, 0.14934735000133514, -0.11987088620662689, -0.18326939642429352, 0.25429314374923706, -0.2684708833694458, 0.47588083148002625]","[0.19327412545681, 0.2316947728395462, 0.006843220442533493, 0.17641226947307587, -0.20161733031272888, -0.00603456562384963, -0.02029147371649742, 0.016578001901507378, -0.0025468082167208195, 0.6634451150894165, 0.5980803966522217, -0.35937315225601196, -0.2993825376033783, -0.016894597560167313, -0.005602345336228609, 0.00359680806286633, 0.008215321227908134, 0.01085434015840292, 0.0008567215409129858, -0.005621124990284443, 0.009722629562020302, -0.0026035539340227842, 0.001952356193214655, 0.7232869863510132, 0.5640547871589661, -0.29514309763908386, -0.3902624249458313, -0.005609830375760794, -0.01628020592033863]","[0.758712887763977, 1.407836675643921, 0.3357734680175781, -0.24032780528068542, 0.19285763800144196, -0.6264662742614746, -0.7080188393592834, 1.1050673723220825, -0.13665460050106049, -1.674501657485962, -1.4095373153686523, 0.16207705438137054, -0.6993670463562012, 0.09693820029497147, 0.7554008364677429, 0.12213677912950516, 0.39317721128463745, 0.45968979597091675, 0.1978171467781067, -0.8585273623466492, 0.3042043447494507, -0.3031060993671417, 0.06970831006765366, -2.556748151779175, 1.102178692817688, 0.5780526995658875, 0.37694844603538513, 0.4711475372314453, -0.6281242370605469]"
model_200,hard_target_clip,matrix,0,2,7,0.035,left_ankle_roll_link,unresolved_sensor_net,157.57888793945312,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8129925727844238,"[0.908881664276123, 0.006863163318485022, -0.0012685380643233657, -0.4169955551624298]",0.013961029841388535,"[3.280236005783081, -0.8052283525466919, 0.8129925727844238, 0.908881664276123, 0.006863163318485022, -0.0012685380643233657, -0.4169955551624298, 0.3284686803817749, 0.0426349863409996, -0.31286975741386414, 0.32819414138793945, -0.06893561035394669, 0.8106621503829956]","[0.2308235764503479, 0.21094723045825958, 0.01088207308202982, 0.18864060938358307, -0.22812676429748535, -0.009663722477853298, -0.017557527869939804, 0.0159870907664299, -0.008822179399430752, 0.5554890036582947, 0.6347460746765137, -0.3865055739879608, -0.3135446012020111, -0.004349679220467806, -0.005569034721702337, 0.005279448814690113, 0.006911746226251125, 0.009342094883322716, 0.0034599830396473408, 0.0046208580024540424, -0.014233339577913284, -0.004104193300008774, 0.002927158260717988, 0.5850276947021484, 0.6544758677482605, -0.35796982049942017, -0.42355218529701233, -0.010705498047173023, -0.007179584354162216]","[0.32848432660102844, 2.457902669906616, 1.23484206199646, -0.23026156425476074, 0.7373172640800476, -0.008270874619483948, -0.24744926393032074, 0.27202308177948, 0.2105589061975479, -0.8503945469856262, -2.8503830432891846, -2.585850954055786, -0.3784276843070984, 0.28036823868751526, -0.2024063915014267, -0.2925527095794678, 0.0454089529812336, 0.4496743977069855, 0.21745075285434723, 0.9626845717430115, -0.4347708523273468, -0.05633626505732536, 0.19434568285942078, 0.9046246409416199, -2.6962759494781494, 3.924013376235962, -1.9575116634368896, -1.0333417654037476, 0.845833957195282]"
model_200,hard_target_clip,matrix,2,2,7,0.035,right_ankle_roll_link,unresolved_sensor_net,130.14340209960938,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8159857392311096,"[0.9059505462646484, 0.004930483177304268, -0.0024956604465842247, -0.42334744334220886]",0.011053993215112705,"[1.531490445137024, -1.4845049381256104, 0.8159857392311096, 0.9059505462646484, 0.004930483177304268, -0.0024956604465842247, -0.42334744334220886, 0.16215215623378754, -0.11973745375871658, -0.21294286847114563, 0.29458901286125183, -0.25996851921081543, 0.6237570643424988]","[0.19703438878059387, 0.23921902477741241, 0.008429383859038353, 0.1747133880853653, -0.2006433755159378, -0.009863578714430332, -0.023700816556811333, 0.022372424602508545, -0.0035350921098142862, 0.6548478603363037, 0.5908130407333374, -0.35863733291625977, -0.3032958209514618, -0.016158074140548706, -0.001601475989446044, 0.0045255497097969055, 0.010339153930544853, 0.01296545285731554, 0.0017751787090674043, -0.010532245971262455, 0.010261679999530315, -0.004142820369452238, 0.002356596291065216, 0.7103704214096069, 0.5699751973152161, -0.2920088469982147, -0.386771559715271, -0.003077960340306163, -0.018973881378769875]","[0.7619245052337646, 1.591223120689392, 0.30421194434165955, -0.39097991585731506, 0.21576735377311707, -0.7982423901557922, -0.6703072190284729, 1.2013639211654663, -0.22117333114147186, -1.7824972867965698, -1.4982762336730957, 0.13947433233261108, -0.7454808354377747, 0.17158494889736176, 0.8161949515342712, 0.17682695388793945, 0.3914213180541992, 0.39517009258270264, 0.17091479897499084, -1.04245126247406, -0.006833340507000685, -0.30840033292770386, 0.09087641537189484, -2.593099355697632, 1.1743992567062378, 0.640998899936676, 0.46464380621910095, 0.5205127596855164, -0.4852945804595947]"
model_200,hard_target_clip,matrix,7,2,7,0.035,right_ankle_roll_link,unresolved_sensor_net,64.51025390625,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8121026754379272,"[0.4432462751865387, -0.006704083178192377, -0.009005582891404629, -0.8963295817375183]",0.02245344664782531,"[-3.5386414527893066, 1.4111881256103516, 0.8121026754379272, 0.4432462751865387, -0.006704083178192377, -0.009005582891404629, -0.8963295817375183, -0.004545819014310837, 0.4729551374912262, -0.36624830961227417, -0.8189948797225952, 0.1527101993560791, -0.3473377227783203]","[0.19085754454135895, 0.20803211629390717, 0.0030737740453332663, 0.22976252436637878, -0.1955958753824234, -0.015255574136972427, -0.03429354727268219, 0.01843656785786152, 0.008155700750648975, 0.6689678430557251, 0.6824163794517517, -0.25867393612861633, -0.2907315790653229, -0.016846394166350365, -0.026632290333509445, 0.029756557196378708, 0.01757843978703022, 0.012435457669198513, -0.001989169279113412, 0.027022534981369972, -0.015702778473496437, 0.000517418549861759, 0.0017863786779344082, 0.6069550514221191, 0.7755952477455139, -0.39614224433898926, -0.27083295583724976, -0.048184338957071304, -0.03327590972185135]","[1.6424163579940796, 0.8078699111938477, 0.7001383304595947, 0.05096863955259323, 1.5482600927352905, -0.7746863961219788, -0.7640227675437927, -0.29398107528686523, 0.8019917011260986, -1.6593072414398193, -0.483634889125824, -0.44085708260536194, 0.12989602982997894, -0.5980600118637085, -1.2580790519714355, 0.9755454063415527, 0.6106986999511719, 0.37809982895851135, 0.25597354769706726, 0.5621800422668457, -0.8152878284454346, -0.026406485587358475, 0.21802222728729248, 0.7675262093544006, -0.7971638441085815, 0.6373968720436096, -2.4748752117156982, -1.4630948305130005, -1.668707251548767]"
model_200,hard_target_clip,matrix,0,2,8,0.04,left_ankle_roll_link,unresolved_sensor_net,84.25533294677734,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8112227916717529,"[0.9097519516944885, 0.007754847407341003, -0.0007923954981379211, -0.41507917642593384]",0.015590787826390421,"[3.2818806171417236, -0.8046929836273193, 0.8112227916717529, 0.9097519516944885, 0.007754847407341003, -0.0007923954981379211, -0.41507917642593384, 0.3432554602622986, 0.0273320022970438, -0.3536764085292816, 0.45443183183670044, 0.0866629034280777, 0.8669116497039795]","[0.23252493143081665, 0.22328777611255646, 0.016572462394833565, 0.18736763298511505, -0.22420275211334229, -0.009361202828586102, -0.018544577062129974, 0.017222721129655838, -0.007851919159293175, 0.5505426526069641, 0.6202788949012756, -0.39995086193084717, -0.3156055212020874, -0.002957898424938321, -0.006534729618579149, 0.0030776094645261765, 0.007212825585156679, 0.01133596058934927, 0.0043196710757911205, 0.00877975020557642, -0.015829406678676605, -0.004313809331506491, 0.003846973180770874, 0.5903410315513611, 0.6405609846115112, -0.3380987346172333, -0.433371901512146, -0.014804735779762268, -0.0030106590129435062]","[0.35016322135925293, 2.4813051223754883, 1.0569274425506592, -0.2820093035697937, 0.7978063821792603, 0.08347013592720032, -0.15858396887779236, 0.23540522158145905, 0.1640557050704956, -1.0933294296264648, -2.9457907676696777, -2.698211669921875, -0.43434393405914307, 0.2744651138782501, -0.18371425569057465, -0.49870607256889343, 0.09839527308940887, 0.35862264037132263, 0.13948725163936615, 0.7715783715248108, -0.2524290382862091, -0.03064081259071827, 0.17681404948234558, 1.112941026687622, -2.8249571323394775, 3.6751534938812256, -1.9612338542938232, -0.7094250321388245, 0.8185558319091797]"
