controller,action_mode,mode,case_id,control_step,physics_step,contact_time_s,link_a,link_b,contact_force_N,contact_points,self_collision,primary_fall_at_sample,primary_fall_same_control_step,episode_primary_fall,causes_primary_fall,classification,evidence,root_height_m,root_orientation_quat,root_tilt_rad,root_state,joint_position,joint_velocity
model_initial,legacy_raw,matrix,2,1,3,0.015,right_ankle_roll_link,unresolved_sensor_net,13.036419868469238,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8192408084869385,"[0.9041885137557983, 0.0021065599285066128, -0.00014104785805102438, -0.4271283745765686]",0.004228642817504608,"[1.5274789333343506, -1.4824885129928589, 0.8192408084869385, 0.9041885137557983, 0.0021065599285066128, -0.00014104785805102438, -0.4271283745765686, 0.10284543037414551, -0.0798572301864624, -0.10126759856939316, 0.30405235290527344, -0.09587850421667099, -0.15580867230892181]","[0.18094153702259064, 0.21059617400169373, -0.0031851783860474825, 0.1732318252325058, -0.20829331874847412, 0.0015571003314107656, 0.0038465627003461123, 0.003024321747943759, 0.0009071059757843614, 0.6836930513381958, 0.6157588362693787, -0.36228469014167786, -0.2884189784526825, 0.0009470643708482385, 0.003420447465032339, -0.0026458248030394316, -0.0017906517023220658, 0.0017840919317677617, -0.00045183097245171666, -0.002961925230920315, -2.0224098989274353e-05, -6.423025479307398e-05, 4.911796349915676e-05, 0.7688840627670288, 0.5540384650230408, -0.2978719472885132, -0.4056413173675537, -0.004456330556422472, 0.0009182875510305166]","[0.34675833582878113, -0.08789671212434769, -0.3389584422111511, -0.0956297442317009, -0.15800800919532776, 0.09193968772888184, 0.3629503548145294, 0.27943241596221924, 0.12859171628952026, -0.95734703540802, -0.322527676820755, 0.3724282383918762, -0.23059222102165222, 0.07514593750238419, 0.2829173505306244, -0.2330026626586914, -0.14439040422439575, 0.09495757520198822, -0.06649287045001984, -0.3604849874973297, -0.01082144770771265, 0.007593323010951281, 0.013782238587737083, -0.6695234775543213, 1.184744119644165, -0.6532467603683472, 0.09088490158319473, -0.36171236634254456, 0.06294531375169754]"
model_initial,legacy_raw,matrix,4,1,3,0.015,right_ankle_roll_link,unresolved_sensor_net,48.35335922241211,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.818265438079834,"[0.675304114818573, -0.00035350577672943473, 0.0006602879730053246, 0.7375388741493225]",0.0015049840294750149,"[-0.9370847940444946, -1.5029711723327637, 0.818265438079834, 0.675304114818573, -0.00035350577672943473, 0.0006602879730053246, 0.7375388741493225, -0.3873872756958008, -0.1724168211221695, -0.16194388270378113, -0.19306707382202148, 0.062112413346767426, 0.2978907525539398]","[0.21690644323825836, 0.16810287535190582, -0.005237473174929619, 0.2182326465845108, -0.1996903270483017, -0.0002833144390024245, 0.004104623105376959, -6.963152554817498e-05, -0.0005725823575630784, 0.595822274684906, 0.6854977607727051, -0.346106618642807, -0.33819571137428284, -0.0003580053453333676, 0.0039637116715312, -0.002674644812941551, -0.0016333938110619783, -0.00030512933153659105, 0.0009381909621879458, -0.00460011325776577, -0.002213055267930031, -0.00022862562036607414, -4.252417784300633e-05, 0.7304668426513672, 0.5619709491729736, -0.39747554063796997, -0.40310588479042053, -0.005738281644880772, 0.0008521397830918431]","[-0.35212916135787964, 0.38956522941589355, -0.5487478375434875, -0.31837010383605957, -0.16963090002536774, -0.16559189558029175, 0.4299858808517456, -0.007699877489358187, -0.01564725488424301, 0.18991994857788086, -1.1752029657363892, 0.3134787678718567, 0.00942697748541832, -0.032887011766433716, 0.33085572719573975, -0.1819637417793274, 0.010002538561820984, -0.02547966130077839, -0.0028168349526822567, -0.5317361950874329, 0.12132404744625092, 0.003135109320282936, -0.000954031478613615, -0.2097426801919937, 1.0447620153427124, 0.9788201451301575, 0.7353460192680359, -0.46740442514419556, -0.2125418335199356]"
model_initial,legacy_raw,matrix,2,1,4,0.02,right_ankle_roll_link,unresolved_sensor_net,37.73307418823242,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8185114860534668,"[0.9040231108665466, 0.0029585568699985743, -3.2813914003781974e-06, -0.4274733066558838]",0.005920104178913961,"[1.5280944108963013, -1.4825729131698608, 0.8185114860534668, 0.9040231108665466, 0.0029585568699985743, -3.2813914003781974e-06, -0.4274733066558838, 0.10615185648202896, -0.07848186045885086, -0.14612160623073578, 0.3435939848423004, -0.0936271995306015, -0.152236208319664]","[0.18264953792095184, 0.21018673479557037, -0.005066046491265297, 0.17260895669460297, -0.2092483639717102, 0.001565445214509964, 0.005678406450897455, 0.0043807849287986755, 0.0018631144193932414, 0.6788115501403809, 0.6139905452728271, -0.36042073369026184, -0.28976309299468994, 0.0013120993971824646, 0.0048033143393695354, -0.0036554147955030203, -0.002052969066426158, 0.002127152867615223, -0.0008603703463450074, -0.005251940805464983, 0.0012548633385449648, -4.978762717655627e-06, 0.00012664675887208432, 0.765431821346283, 0.5607147812843323, -0.30114856362342834, -0.40329688787460327, -0.0061991228722035885, 0.0002743076183833182]","[0.3483523726463318, -0.07093092799186707, -0.3941926062107086, -0.13047558069229126, -0.20579810440540314, -0.023991018533706665, 0.36377936601638794, 0.26664844155311584, 0.21622376143932343, -1.0054008960723877, -0.3814951479434967, 0.37954720854759216, -0.25946635007858276, 0.07043447345495224, 0.27001315355300903, -0.19640541076660156, -0.07191526144742966, 0.0512394905090332, -0.09116532653570175, -0.49220070242881775, 0.1892884522676468, 0.014204208739101887, 0.016728036105632782, -0.7106589078903198, 1.345529317855835, -0.65400230884552, 0.3746158480644226, -0.33830201625823975, -0.06051579862833023]"
model_initial,legacy_raw,matrix,4,1,4,0.02,right_ankle_roll_link,unresolved_sensor_net,71.4849853515625,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8172459602355957,"[0.6747210621833801, -0.0005701875779777765, 0.0012220926582813263, 0.7380713820457458]",0.002696622159137451,"[-0.9391179084777832, -1.5040464401245117, 0.8172459602355957, 0.6747210621833801, -0.0005701875779777765, 0.0012220926582813263, 0.7380713820457458, -0.3923899531364441, -0.17389370501041412, -0.202444389462471, -0.2379629760980606, 0.09787984937429428, 0.3266672194004059]","[0.21488945186138153, 0.1701713353395462, -0.008271831087768078, 0.2163107842206955, -0.20076988637447357, -0.0017424902180209756, 0.0063672191463410854, -0.00015534271369688213, -0.00041674476233311, 0.5970091223716736, 0.6793175935745239, -0.34451425075531006, -0.3384205400943756, -0.0005264987121336162, 0.005583279300481081, -0.003331133397296071, -0.001230347203090787, -0.0003902346652466804, 0.0007406545337289572, -0.0077369073405861855, -0.0009950711391866207, -0.00016231981862802058, -4.7749796067364514e-05, 0.7294352054595947, 0.5679196715354919, -0.3926151394844055, -0.397897869348526, -0.007998945191502571, -0.00042715927702374756]","[-0.42276138067245483, 0.43833237886428833, -0.6391807198524475, -0.41264569759368896, -0.23918583989143372, -0.33336251974105835, 0.46093687415122986, -0.018352586776018143, 0.06259102374315262, 0.24511292576789856, -1.2821661233901978, 0.32920634746551514, -0.027131708338856697, -0.034914515912532806, 0.3166823089122772, -0.1250590682029724, 0.058023929595947266, -0.007092419546097517, -0.06476365774869919, -0.6651901602745056, 0.1813824623823166, 0.01960350200533867, -0.0003607501566875726, -0.21272939443588257, 1.2017931938171387, 0.9594486951828003, 0.8616291284561157, -0.4387696385383606, -0.17551559209823608]"
model_initial,legacy_raw,matrix,2,2,5,0.025,right_ankle_roll_link,unresolved_sensor_net,65.68218231201172,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8175725936889648,"[0.9038397669792175, 0.003909956198185682, 0.00016919962945394218, -0.42785322666168213]",0.007827763901815898,"[1.528733730316162, -1.4826042652130127, 0.8175725936889648, 0.9038397669792175, 0.003909956198185682, 0.00016919962945394218, -0.42785322666168213, 0.11023975163698196, -0.07461830973625183, -0.18684954941272736, 0.3852583169937134, -0.10232225805521011, -0.17962336540222168]","[0.18439221382141113, 0.20968548953533173, -0.007178556639701128, 0.17173586785793304, -0.21052728593349457, 0.0007936037145555019, 0.0075941141694784164, 0.0058188349939882755, 0.0034262549597769976, 0.673795759677887, 0.6121594309806824, -0.3586057424545288, -0.2914286255836487, 0.0014324630610644817, 0.0061298273503780365, -0.004386951681226492, -0.0017510607140138745, 0.002293975558131933, -0.0013318817364051938, -0.008369027636945248, 0.003807326080277562, 8.434864867012948e-05, 0.00030146236531436443, 0.7618532776832581, 0.5679308176040649, -0.30442237854003906, -0.39951974153518677, -0.00746964430436492, -0.0011529397452250123]","[0.360034316778183, -0.11073500663042068, -0.43588945269584656, -0.18752983212471008, -0.27962011098861694, -0.19921891391277313, 0.3885478079319, 0.3016805350780487, 0.3656386733055115, -1.0210083723068237, -0.3653852045536041, 0.36165931820869446, -0.3329682946205139, -0.002128520980477333, 0.25951629877090454, -0.136771097779274, 0.053585443645715714, 0.023321865126490593, -0.0945562794804573, -0.679145336151123, 0.4741442799568176, 0.019812487065792084, 0.046010199934244156, -0.7273737192153931, 1.4369500875473022, -0.651993453502655, 0.6459839940071106, -0.20669281482696533, -0.2263900190591812]"
model_initial,legacy_raw,matrix,4,2,5,0.025,right_ankle_roll_link,unresolved_sensor_net,84.14176940917969,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8160314559936523,"[0.6741311550140381, -0.0008017726941034198, 0.0019221029942855239, 0.738608717918396]",0.004171879854176959,"[-0.9412081241607666, -1.5051758289337158, 0.8160314559936523, 0.6741311550140381, -0.0008017726941034198, 0.0019221029942855239, 0.738608717918396, -0.398348867893219, -0.17730902135372162, -0.24049292504787445, -0.28227272629737854, 0.12969955801963806, 0.3135468065738678]","[0.212650865316391, 0.17223069071769714, -0.011831960640847683, 0.2139347344636917, -0.20220212638378143, -0.004061417654156685, 0.008772912435233593, -0.00020686659263446927, 0.00028687898884527385, 0.5982734560966492, 0.672931969165802, -0.3427276015281677, -0.3387337625026703, -0.0009960616007447243, 0.006495392881333828, -0.003639958566054702, -0.0005880005774088204, -0.0003597770119085908, 0.0003021543088834733, -0.011472590267658234, 0.000301331834634766, -4.703730155597441e-06, 3.144223228446208e-05, 0.7282591462135315, 0.5744761228561401, -0.3877076208591461, -0.3921545445919037, -0.010341208428144455, -0.0019312945660203695]","[-0.4510790705680847, 0.40278521180152893, -0.7532084584236145, -0.5023943781852722, -0.31127995252609253, -0.51252281665802, 0.4859919548034668, 0.00014942586130928248, 0.1954725980758667, 0.23679843544960022, -1.2794021368026733, 0.3811129927635193, -0.03571043908596039, -0.12586109340190887, 0.10778342187404633, -0.04609231650829315, 0.11369915306568146, 0.01737498678267002, -0.10191057622432709, -0.7795411348342896, 0.19427214562892914, 0.03825074061751366, 0.025890806689858437, -0.25744667649269104, 1.3099101781845093, 0.9850249886512756, 0.979000985622406, -0.47867223620414734, -0.2811749279499054]"
model_initial,legacy_raw,matrix,2,2,6,0.03,right_ankle_roll_link,unresolved_sensor_net,74.5395278930664,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8164458274841309,"[0.9036397933959961, 0.004981508478522301, 0.0003716702340170741, -0.4282640516757965]",0.009988944138666401,"[1.5294034481048584, -1.4825656414031982, 0.8164458274841309, 0.9036397933959961, 0.004981508478522301, 0.0003716702340170741, -0.4282640516757965, 0.1140301302075386, -0.07031978666782379, -0.22602121531963348, 0.4234442710876465, -0.10995087772607803, -0.1821424812078476]","[0.18605463206768036, 0.2089957743883133, -0.009544475004076958, 0.17055681347846985, -0.21215564012527466, -0.0009557490702718496, 0.009540674276649952, 0.007303330115973949, 0.0054886057041585445, 0.6688918471336365, 0.6104402542114258, -0.3568347990512848, -0.2936824560165405, 0.0013424536446109414, 0.007379127666354179, -0.004643862601369619, -0.0010497292969375849, 0.0023353565484285355, -0.0018163817003369331, -0.012259863317012787, 0.0063629550859332085, 0.00019946593965869397, 0.000567819457501173, 0.7582294344902039, 0.5754562616348267, -0.30761417746543884, -0.39415329694747925, -0.008324266411364079, -0.002383978571742773]","[0.34114396572113037, -0.1315513402223587, -0.48704835772514343, -0.2310427725315094, -0.3345493674278259, -0.35660603642463684, 0.3755128085613251, 0.2974090278148651, 0.4635706841945648, -1.0009504556655884, -0.3518541753292084, 0.36348679661750793, -0.3937233090400696, -0.028004765510559082, 0.24160410463809967, -0.06813394278287888, 0.08380838483572006, 0.006285245530307293, -0.09461678564548492, -0.8074383735656738, 0.4226733148097992, 0.022794943302869797, 0.0572742335498333, -0.7345676422119141, 1.5146766901016235, -0.624718964099884, 0.796140730381012, -0.14920596778392792, -0.17299993336200714]"
model_initial,legacy_raw,matrix,4,2,6,0.03,right_ankle_roll_link,unresolved_sensor_net,100.6656265258789,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8146337866783142,"[0.6735485196113586, -0.0010350843658670783, 0.002742206212133169, 0.7391371726989746]",0.005859383381935546,"[-0.9433595538139343, -1.5063552856445312, 0.8146337866783142, 0.6735485196113586, -0.0010350843658670783, 0.002742206212133169, 0.7391371726989746, -0.40512970089912415, -0.18062114715576172, -0.2762911915779114, -0.3128041625022888, 0.16157470643520355, 0.31575751304626465]","[0.21026670932769775, 0.17414498329162598, -0.015835124999284744, 0.21114599704742432, -0.20397627353668213, -0.007278015371412039, 0.011192436330020428, -0.00021506771736312658, 0.0015650609275326133, 0.5995398759841919, 0.6666449308395386, -0.3407737612724304, -0.339242547750473, -0.001710092998109758, 0.006786755286157131, -0.0035077265929430723, 0.0002951216883957386, -0.00024249547277577221, -0.0002876069047488272, -0.015679486095905304, 0.0014847303973510861, 0.00021863786969333887, 0.0001891620340757072, 0.7269161343574524, 0.5814216732978821, -0.38286951184272766, -0.38571369647979736, -0.01270387414842844, -0.0036140147130936384]","[-0.4813821017742157, 0.3777938485145569, -0.8260517716407776, -0.580472469329834, -0.3768030107021332, -0.6928709149360657, 0.4735878109931946, 0.001668732613325119, 0.2998543083667755, 0.24313881993293762, -1.2472518682479858, 0.40259650349617004, -0.0938464105129242, -0.15136736631393433, 0.030778145417571068, 0.046491727232933044, 0.16173793375492096, 0.030830498784780502, -0.12704381346702576, -0.8627058267593384, 0.17317113280296326, 0.04755140095949173, 0.03535483777523041, -0.2829202115535736, 1.3729090690612793, 0.9489554166793823, 1.133285403251648, -0.46364542841911316, -0.2961551249027252]"
model_initial,legacy_raw,matrix,2,2,7,0.035,right_ankle_roll_link,unresolved_sensor_net,76.56888580322266,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8151225447654724,"[0.9034453630447388, 0.006123625207692385, 0.0005847508437000215, -0.4286588132381439]",0.012304377587889086,"[1.5300980806350708, -1.4824837446212769, 0.8151225447654724, 0.9034453630447388, 0.006123625207692385, 0.0005847508437000215, -0.4286588132381439, 0.11766169965267181, -0.06647059321403503, -0.26438432931900024, 0.44922691583633423, -0.12005321681499481, -0.16875801980495453]","[0.18761113286018372, 0.20827241241931915, -0.012126031331717968, 0.1692238599061966, -0.21399487555027008, -0.003355851396918297, 0.011359408497810364, 0.008712103590369225, 0.0079036895185709, 0.6641245484352112, 0.6087883710861206, -0.35500919818878174, -0.2960819900035858, 0.0011807006085291505, 0.008534194901585579, -0.004572258796542883, -0.00044369796523824334, 0.0023071442265063524, -0.0022986361291259527, -0.016594860702753067, 0.007750792428851128, 0.00031845964258536696, 0.0008623734465800226, 0.7545865774154663, 0.5835394263267517, -0.310647189617157, -0.3879357576370239, -0.008984089829027653, -0.002851284807547927]","[0.3110460042953491, -0.13366174697875977, -0.5256648063659668, -0.2627040147781372, -0.3736099600791931, -0.4934767782688141, 0.34473347663879395, 0.2733953595161438, 0.5168903470039368, -0.9564815759658813, -0.3324725031852722, 0.37285685539245605, -0.4320167601108551, -0.03548998385667801, 0.22261370718479156, 0.01120864599943161, 0.08201823383569717, -0.006795571651309729, -0.09453030675649643, -0.8833189606666565, 0.19502170383930206, 0.02257595956325531, 0.05929768830537796, -0.7306483387947083, 1.6213548183441162, -0.5900969505310059, 1.025664210319519, -0.12050087749958038, -0.05624215677380562]"
model_initial,legacy_raw,matrix,4,2,7,0.035,right_ankle_roll_link,unresolved_sensor_net,118.3414077758789,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8130651116371155,"[0.6729503870010376, -0.0012563855852931738, 0.003664934542030096, 0.7396772503852844]",0.0077512439486430934,"[-0.9455749988555908, -1.5075771808624268, 0.8130651116371155, 0.6729503870010376, -0.0012563855852931738, 0.003664934542030096, 0.7396772503852844, -0.41263341903686523, -0.18426914513111115, -0.3098280131816864, -0.3372197449207306, 0.1918812245130539, 0.3278942108154297]","[0.20772404968738556, 0.17593903839588165, -0.02014692686498165, 0.2079891413450241, -0.20605985820293427, -0.011388678103685379, 0.013483312912285328, -0.00025434239068999887, 0.0032741969916969538, 0.600856363773346, 0.6605897545814514, -0.33874624967575073, -0.3401814103126526, -0.0024744279216974974, 0.006850206293165684, -0.0028858669102191925, 0.001375534338876605, -7.236063538584858e-05, -0.0009724292322061956, -0.020227761939167976, 0.002354667754843831, 0.00047036679461598396, 0.0003695311024785042, 0.7254729270935059, 0.5885758996009827, -0.3782864212989807, -0.37844187021255493, -0.014936991967260838, -0.005170049611479044]","[-0.5139360427856445, 0.35452333092689514, -0.8810954689979553, -0.6506790518760681, -0.435580313205719, -0.8693065643310547, 0.438677042722702, -0.009661252610385418, 0.3761264979839325, 0.25481662154197693, -1.1908469200134277, 0.41347748041152954, -0.19415758550167084, -0.15289677679538727, 0.0026832353323698044, 0.14469550549983978, 0.2000369131565094, 0.03989902883768082, -0.14152519404888153, -0.923009991645813, 0.10893825441598892, 0.05066869407892227, 0.036916181445121765, -0.2988263964653015, 1.4062342643737793, 0.8901293873786926, 1.2998305559158325, -0.4321520924568176, -0.26670560240745544]"
