controller,action_mode,mode,case_id,control_step,physics_step,contact_time_s,link_a,link_b,contact_force_N,contact_points,self_collision,primary_fall_at_sample,primary_fall_same_control_step,episode_primary_fall,causes_primary_fall,classification,evidence,root_height_m,root_orientation_quat,root_tilt_rad,root_state,joint_position,joint_velocity
zero,hard_target_clip,matrix,0,2,6,0.03,right_ankle_roll_link,unresolved_sensor_net,145.6594696044922,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8133988380432129,"[0.9478685855865479, 0.00726643530651927, 0.0013824781635776162, -0.31857526302337646]",0.014794331606210178,"[3.964730739593506, -1.260222315788269, 0.8133988380432129, 0.9478685855865479, 0.00726643530651927, 0.0013824781635776162, -0.31857526302337646, 0.08488786220550537, 0.49701353907585144, -0.32859447598457336, 0.5687300562858582, -0.06624236702919006, 0.22531916201114655]","[0.2025151550769806, 0.19555141031742096, -0.0030359046068042517, 0.16404558718204498, -0.17277947068214417, 0.002480180701240897, -0.00272088753990829, 0.002954617841169238, 0.0003028126957360655, 0.6600820422172546, 0.5834850072860718, -0.2878461480140686, -0.33568426966667175, -3.709067095769569e-05, 6.743766425643116e-05, -0.0007495649624615908, -0.0006626388058066368, 0.00269332411698997, -0.0009137543966062367, 0.0009094952838495374, 0.0016454115975648165, -0.00019822963804472238, 0.0002414024929748848, 0.6693634986877441, 0.5891956686973572, -0.33019351959228516, -0.3349023759365082, -3.4211519960081205e-05, -0.0008595138788223267]","[0.08686143904924393, -0.16022291779518127, -0.2208721786737442, 0.046835437417030334, -0.1948387324810028, -0.2327834665775299, -0.09844320267438889, 0.06374048441648483, 0.025668073445558548, -0.6417150497436523, 0.21586643159389496, 0.0053979260846972466, -0.5291079878807068, 0.006662923377007246, 0.0025996165350079536, 0.17297716438770294, 0.13269492983818054, 0.004390335641801357, -0.02874651923775673, -0.14548777043819427, 0.18460744619369507, -0.01092392299324274, 0.009300818666815758, 0.09473498910665512, 1.9345066547393799, -0.5511907935142517, 2.3688411712646484, 0.0037237030919641256, -0.6723002195358276]"
zero,hard_target_clip,matrix,0,2,7,0.035,right_ankle_roll_link,unresolved_sensor_net,115.34211730957031,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8115804195404053,"[0.9480537176132202, 0.008746492676436901, 0.0016863795462995768, -0.31798550486564636]",0.017814138231694778,"[3.9652295112609863, -1.257151484489441, 0.8115804195404053, 0.9480537176132202, 0.008746492676436901, 0.0016863795462995768, -0.31798550486564636, 0.08817601203918457, 0.5071718096733093, -0.35955896973609924, 0.6114646792411804, -0.08238384872674942, 0.2642276883125305]","[0.20271223783493042, 0.1947128176689148, -0.00439905421808362, 0.16402305662631989, -0.17398090660572052, 0.0005961774731986225, -0.0032251528464257717, 0.0031617518980056047, 0.0005948657053522766, 0.6571484804153442, 0.5847089886665344, -0.2877018451690674, -0.3384459614753723, -6.966478395042941e-06, 7.86324089858681e-05, 0.0004454513546079397, 7.620635733474046e-05, 0.0027384916320443153, -0.001018465613014996, -0.00029749731766059995, 0.0024222496431320906, -0.00024642812786623836, 0.00027935797697864473, 0.6698203086853027, 0.599514365196228, -0.33280009031295776, -0.32252994179725647, 3.133009386147023e-06, -0.003884146921336651]","[0.016991473734378815, -0.16244424879550934, -0.29841887950897217, -0.027312397956848145, -0.2608494460582733, -0.4465446472167969, -0.10740926861763, 0.02627297304570675, 0.0871768370270729, -0.5657739639282227, 0.25909319519996643, 0.04456281289458275, -0.5242509245872498, 0.005182292312383652, 0.0016439106548205018, 0.26415109634399414, 0.14028194546699524, 0.014304501935839653, -0.014384577050805092, -0.2951243817806244, 0.11708183586597443, -0.009951441548764706, 0.0060178982093930244, 0.08485489338636398, 2.065479278564453, -0.499466210603714, 2.174449920654297, 0.009749350138008595, -0.528455376625061]"
zero,hard_target_clip,matrix,5,2,7,0.035,left_ankle_roll_link,unresolved_sensor_net,230.36769104003906,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8109090924263,"[0.8605535626411438, 0.0004609456518664956, 0.005417313426733017, -0.5093307495117188]",0.010874593354173205,"[-1.5035690069198608, 1.1751668453216553, 0.8109090924263, 0.8605535626411438, 0.0004609456518664956, 0.005417313426733017, -0.5093307495117188, 0.06671170890331268, -0.14551196992397308, -0.37083348631858826, 0.22438491880893707, 0.3106730580329895, 0.25900426506996155]","[0.20591232180595398, 0.18377457559108734, -0.00967456679791212, 0.1839534342288971, -0.2295406609773636, 0.0021039829589426517, -0.001287448569200933, -0.0031253346242010593, -0.00030979729490354657, 0.6101187467575073, 0.5394209623336792, -0.3412781059741974, -0.32915282249450684, -2.4082975869532675e-05, -1.958547545655165e-05, -0.0007007010863162577, -0.00032346206717193127, 0.0004853613208979368, -0.003528416622430086, -0.0009370389161631465, 0.0003357325622346252, -7.342283788602799e-05, -0.0002259968750877306, 0.6193050742149353, 0.6162914037704468, -0.3879773020744324, -0.39803361892700195, 0.000536336621735245, 0.0004593633348122239]","[-0.20345036685466766, -0.41594362258911133, -0.4771423041820526, 0.09644142538309097, 0.23417052626609802, 0.1668473184108734, -0.005828838795423508, -0.1374111771583557, -0.06628432869911194, 0.06581861525774002, 0.9818199276924133, -0.32068851590156555, -0.28248921036720276, 0.0029960833489894867, -0.00259913457557559, -0.10177257657051086, -0.06668137013912201, -0.007813090458512306, -0.026432188227772713, -0.17976100742816925, -0.06102832406759262, -0.0019802076276391745, -0.019131561741232872, 1.703576683998108, 1.7295191287994385, 3.2098047733306885, 3.0876779556274414, 0.07779500633478165, 0.09617628157138824]"
zero,hard_target_clip,matrix,5,2,7,0.035,right_ankle_roll_link,unresolved_sensor_net,170.12533569335938,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8109090924263,"[0.8605535626411438, 0.0004609456518664956, 0.005417313426733017, -0.5093307495117188]",0.010874593354173205,"[-1.5035690069198608, 1.1751668453216553, 0.8109090924263, 0.8605535626411438, 0.0004609456518664956, 0.005417313426733017, -0.5093307495117188, 0.06671170890331268, -0.14551196992397308, -0.37083348631858826, 0.22438491880893707, 0.3106730580329895, 0.25900426506996155]","[0.20591232180595398, 0.18377457559108734, -0.00967456679791212, 0.1839534342288971, -0.2295406609773636, 0.0021039829589426517, -0.001287448569200933, -0.0031253346242010593, -0.00030979729490354657, 0.6101187467575073, 0.5394209623336792, -0.3412781059741974, -0.32915282249450684, -2.4082975869532675e-05, -1.958547545655165e-05, -0.0007007010863162577, -0.00032346206717193127, 0.0004853613208979368, -0.003528416622430086, -0.0009370389161631465, 0.0003357325622346252, -7.342283788602799e-05, -0.0002259968750877306, 0.6193050742149353, 0.6162914037704468, -0.3879773020744324, -0.39803361892700195, 0.000536336621735245, 0.0004593633348122239]","[-0.20345036685466766, -0.41594362258911133, -0.4771423041820526, 0.09644142538309097, 0.23417052626609802, 0.1668473184108734, -0.005828838795423508, -0.1374111771583557, -0.06628432869911194, 0.06581861525774002, 0.9818199276924133, -0.32068851590156555, -0.28248921036720276, 0.0029960833489894867, -0.00259913457557559, -0.10177257657051086, -0.06668137013912201, -0.007813090458512306, -0.026432188227772713, -0.17976100742816925, -0.06102832406759262, -0.0019802076276391745, -0.019131561741232872, 1.703576683998108, 1.7295191287994385, 3.2098047733306885, 3.0876779556274414, 0.07779500633478165, 0.09617628157138824]"
zero,hard_target_clip,matrix,0,2,8,0.04,right_ankle_roll_link,unresolved_sensor_net,125.772216796875,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8096154928207397,"[0.9482694268226624, 0.01033132616430521, 0.001973705133423209, -0.3172919750213623]",0.021036187899021147,"[3.965764284133911, -1.2539951801300049, 0.8096154928207397, 0.9482694268226624, 0.01033132616430521, 0.001973705133423209, -0.3172919750213623, 0.09243112802505493, 0.5177889466285706, -0.3882005214691162, 0.6472570300102234, -0.104886494576931, 0.31039929389953613]","[0.20258024334907532, 0.19391287863254547, -0.006072801537811756, 0.16363291442394257, -0.1755019575357437, -0.002330079907551408, -0.0037889410741627216, 0.0031809189822524786, 0.0011672149412333965, 0.6545925736427307, 0.5861397981643677, -0.28739866614341736, -0.34120801091194153, 1.9230586985941045e-05, 8.677395089762285e-05, 0.002087280387058854, 0.000855432590469718, 0.002828067634254694, -0.0010556168854236603, -0.002182654570788145, 0.0030200383625924587, -0.0002950174384750426, 0.0002992126683238894, 0.6702096462249756, 0.6102052927017212, -0.3351646065711975, -0.3108058273792267, 6.653884338447824e-05, -0.007049815263599157]","[-0.04780057445168495, -0.14925724267959595, -0.3516802191734314, -0.1032259538769722, -0.32518407702445984, -0.6556893587112427, -0.12038365006446838, -0.011680968105793, 0.13861651718616486, -0.48853883147239685, 0.2997954189777374, 0.07135318219661713, -0.534055233001709, 0.004861034918576479, 0.001262654666788876, 0.3538062870502472, 0.14790409803390503, 0.022491851821541786, -0.00146206421777606, -0.4230389893054962, 0.11230035871267319, -0.01044571865350008, 0.002189718186855316, 0.06958727538585663, 2.100864887237549, -0.4533849358558655, 2.0985381603240967, 0.014540920965373516, -0.6580272912979126]"
zero,hard_target_clip,matrix,4,2,8,0.04,right_ankle_roll_link,unresolved_sensor_net,13.103281021118164,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8079910278320312,"[0.47483712434768677, -0.011163169518113136, -0.004562865011394024, -0.8799910545349121]",0.024119899193619995,"[-0.9305934906005859, -1.4602383375167847, 0.8079910278320312, 0.47483712434768677, -0.011163169518113136, -0.004562865011394024, -0.8799910545349121, 0.4801871180534363, -0.1921032965183258, -0.47362184524536133, -0.4360937774181366, 0.32901641726493835, -0.2736383080482483]","[0.1916864514350891, 0.20377111434936523, 0.008958752267062664, 0.19108062982559204, -0.17987513542175293, 0.0007244640728458762, -0.0011518673272803426, 0.0026693250983953476, -0.003059211652725935, 0.5484343767166138, 0.6433065533638, -0.29419800639152527, -0.2728089988231659, -7.707957411184907e-05, -1.2287597201066092e-05, -0.0010433302959427238, -0.0010459418408572674, -0.003293809248134494, 0.002377664903178811, 0.0014727555681020021, 0.0016859419411048293, -6.614066660404205e-05, 0.0002855447819456458, 0.6805573105812073, 0.6189411878585815, -0.3529896140098572, -0.3757472336292267, -4.315517071518116e-05, -4.998060830985196e-05]","[-0.13743244111537933, 0.10848715156316757, 0.13267618417739868, 0.044815659523010254, -0.10917900502681732, -0.06642017513513565, 0.0008142829174175858, 0.06958791613578796, 0.037563614547252655, 0.7091513276100159, -0.6511983275413513, -0.19229985773563385, -0.5678748488426208, 0.0001541360979899764, -0.000542445748578757, 0.014939254149794579, 0.013109849765896797, -0.00015940656885504723, -0.018005695194005966, -0.03325045481324196, 0.007946018129587173, 0.0018083606846630573, 0.01162550039589405, -0.1769595444202423, 1.0401101112365723, -0.16860218346118927, 0.6116344928741455, 0.001024336088448763, -0.07655679434537888]"
zero,hard_target_clip,matrix,5,2,8,0.04,left_ankle_roll_link,unresolved_sensor_net,123.36573791503906,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8089057803153992,"[0.8608801364898682, 0.0005623122560791671, 0.006419554352760315, -0.5087668299674988]",0.012886459496244654,"[-1.503546953201294, 1.174667239189148, 0.8089057803153992, 0.8608801364898682, 0.0005623122560791671, 0.006419554352760315, -0.5087668299674988, 0.06383286416530609, -0.14261452853679657, -0.3915373980998993, 0.2450122833251953, 0.32894253730773926, 0.2619512379169464]","[0.2047121822834015, 0.18157437443733215, -0.01252672728151083, 0.18439477682113647, -0.2282436341047287, 0.002976122545078397, -0.0012686820700764656, -0.003802957944571972, -0.0006977109587751329, 0.6107020974159241, 0.5445732474327087, -0.3428891599178314, -0.33051618933677673, -1.0092581760545727e-05, -2.9986224035383202e-05, -0.001088920165784657, -0.0006119654281064868, 0.000508042867295444, -0.0035268699284642935, -0.0016548909479752183, 2.9362803616095334e-05, -7.308523345272988e-05, -0.00033009660546667874, 0.6284366846084595, 0.6256346702575684, -0.3714602291584015, -0.38216614723205566, 0.0008706566295586526, 0.0008560804999433458]","[-0.2541924715042114, -0.4433749318122864, -0.6308780908584595, 0.08425649255514145, 0.2751900851726532, 0.17986874282360077, 0.006683957297354937, -0.12934473156929016, -0.08455509692430496, 0.1393340826034546, 1.0483207702636719, -0.28115859627723694, -0.2227189987897873, 0.002485942794010043, -0.0015906617045402527, -0.05999032035470009, -0.05117730423808098, 0.015538034029304981, 0.021640244871377945, -0.11380219459533691, -0.05711814761161804, 0.000995192094705999, -0.021360278129577637, 1.8352681398391724, 1.8793693780899048, 3.0773894786834717, 2.9484400749206543, 0.053387515246868134, 0.06103826314210892]"
zero,hard_target_clip,matrix,5,2,8,0.04,right_ankle_roll_link,unresolved_sensor_net,110.73089599609375,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8089057803153992,"[0.8608801364898682, 0.0005623122560791671, 0.006419554352760315, -0.5087668299674988]",0.012886459496244654,"[-1.503546953201294, 1.174667239189148, 0.8089057803153992, 0.8608801364898682, 0.0005623122560791671, 0.006419554352760315, -0.5087668299674988, 0.06383286416530609, -0.14261452853679657, -0.3915373980998993, 0.2450122833251953, 0.32894253730773926, 0.2619512379169464]","[0.2047121822834015, 0.18157437443733215, -0.01252672728151083, 0.18439477682113647, -0.2282436341047287, 0.002976122545078397, -0.0012686820700764656, -0.003802957944571972, -0.0006977109587751329, 0.6107020974159241, 0.5445732474327087, -0.3428891599178314, -0.33051618933677673, -1.0092581760545727e-05, -2.9986224035383202e-05, -0.001088920165784657, -0.0006119654281064868, 0.000508042867295444, -0.0035268699284642935, -0.0016548909479752183, 2.9362803616095334e-05, -7.308523345272988e-05, -0.00033009660546667874, 0.6284366846084595, 0.6256346702575684, -0.3714602291584015, -0.38216614723205566, 0.0008706566295586526, 0.0008560804999433458]","[-0.2541924715042114, -0.4433749318122864, -0.6308780908584595, 0.08425649255514145, 0.2751900851726532, 0.17986874282360077, 0.006683957297354937, -0.12934473156929016, -0.08455509692430496, 0.1393340826034546, 1.0483207702636719, -0.28115859627723694, -0.2227189987897873, 0.002485942794010043, -0.0015906617045402527, -0.05999032035470009, -0.05117730423808098, 0.015538034029304981, 0.021640244871377945, -0.11380219459533691, -0.05711814761161804, 0.000995192094705999, -0.021360278129577637, 1.8352681398391724, 1.8793693780899048, 3.0773894786834717, 2.9484400749206543, 0.053387515246868134, 0.06103826314210892]"
zero,hard_target_clip,matrix,0,3,9,0.045,right_ankle_roll_link,unresolved_sensor_net,136.45057678222656,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8075158596038818,"[0.948520302772522, 0.012012888677418232, 0.0022325150202959776, -0.3164803683757782]",0.024436633285916148,"[3.966341733932495, -1.2507538795471191, 0.8075158596038818, 0.948520302772522, 0.012012888677418232, 0.0022325150202959776, -0.3164803683757782, 0.09727992862462997, 0.5288196802139282, -0.41494327783584595, 0.6769357323646545, -0.12900014221668243, 0.3612388074398041]","[0.20213563740253448, 0.1932048201560974, -0.007980559952557087, 0.16286224126815796, -0.17733801901340485, -0.006284406408667564, -0.004424586892127991, 0.0030124958138912916, 0.001971213612705469, 0.6524099111557007, 0.5877682566642761, -0.2869747281074524, -0.34407275915145874, 4.470146450330503e-05, 9.370814950671047e-05, 0.004169902764260769, 0.0016448909882456064, 0.0029578525573015213, -0.0010304092429578304, -0.004654408898204565, 0.003632334992289543, -0.00034818731364794075, 0.0002993486123159528, 0.6705124974250793, 0.6209768652915955, -0.33731308579444885, -0.29913458228111267, 0.00015095337585080415, -0.010693763382732868]","[-0.10733789205551147, -0.12681099772453308, -0.3939147889614105, -0.1775587499141693, -0.3854199945926666, -0.8548076748847961, -0.13563387095928192, -0.0485469326376915, 0.18136261403560638, -0.417777419090271, 0.3384445607662201, 0.09516431391239166, -0.5572331547737122, 0.004743288736790419, 0.0010332510573789477, 0.43881261348724365, 0.14286325871944427, 0.030566805973649025, 0.010730467736721039, -0.5312640070915222, 0.10512314736843109, -0.011635093949735165, -0.001828035688959062, 0.05051806941628456, 2.1113483905792236, -0.41230472922325134, 2.1270034313201904, 0.018277347087860107, -0.6395968198776245]"
zero,hard_target_clip,matrix,4,3,9,0.045,right_ankle_roll_link,unresolved_sensor_net,228.6669158935547,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8054823875427246,"[0.4742758572101593, -0.012254522182047367, -0.00526827247813344, -0.8802751898765564]",0.02667811218823432,"[-0.9283669590950012, -1.4616408348083496, 0.8054823875427246, 0.4742758572101593, -0.012254522182047367, -0.00526827247813344, -0.8802751898765564, 0.4966677129268646, -0.19900010526180267, -0.49398335814476013, -0.46673712134361267, 0.21577486395835876, -0.23897206783294678]","[0.19062398374080658, 0.20416656136512756, 0.009185361675918102, 0.1906239092350006, -0.18090322613716125, -0.0012820394476875663, -0.0011452592443674803, 0.0028359468560665846, -0.002287839073687792, 0.5527600646018982, 0.6402994394302368, -0.29510337114334106, -0.2764277756214142, -5.527377288672142e-05, -7.098496553226141e-06, -0.0001843005302362144, -0.000509444042108953, -0.0032814224250614643, 0.0022258178796619177, 0.0002457410446368158, 0.0036413369234651327, -4.738818824989721e-05, 0.00033033618819899857, 0.6798997521400452, 0.6291497945785522, -0.3537900149822235, -0.35912153124809265, 2.3419751471465133e-07, -0.002562355250120163]","[-0.23698768019676208, 0.06774047017097473, 0.0009665038087405264, -0.14619603753089905, -0.24441108107566833, -0.5427809357643127, -0.0052230507135391235, 0.013764842413365841, 0.213080495595932, 0.9132291078567505, -0.5749839544296265, -0.16557860374450684, -0.7203430533409119, 0.004751353058964014, 0.0011199982836842537, 0.23581314086914062, 0.09718139469623566, 0.018814856186509132, -0.03468530625104904, -0.3329631984233856, 0.407330721616745, 0.004327352624386549, 0.006916258949786425, -0.11983191967010498, 2.1520943641662598, -0.15286147594451904, 3.3430864810943604, 0.011803883127868176, -0.12416808307170868]"
