controller,action_mode,mode,case_id,control_step,physics_step,contact_time_s,link_a,link_b,contact_force_N,contact_points,self_collision,primary_fall_at_sample,primary_fall_same_control_step,episode_primary_fall,causes_primary_fall,classification,evidence,root_height_m,root_orientation_quat,root_tilt_rad,root_state,joint_position,joint_velocity
zero,legacy_raw,matrix,4,2,5,0.025,right_ankle_roll_link,/World/ground/terrain/GroundPlane/CollisionPlane,78.01594543457031,"[[-0.8562474250793457, -1.3886277675628662, 0.017682921141386032], [-0.8402853608131409, -1.4802664518356323, 0.003948558587580919], [-0.831635057926178, -1.4874342679977417, 0.0006089644739404321], [-0.8215023279190063, -1.4885362386703491, 0.00027335493359714746], [-0.8117096424102783, -1.4857091903686523, 0.0006073775002732873], [-0.8044195175170898, -1.4771614074707031, 0.003945892211049795], [-0.8044412136077881, -1.3841427564620972, 0.017679067328572273]]",False,False,False,True,not_established,robot_ground_contact,PhysX filtered contact matrix (normal force),0.8159221410751343,"[0.674740731716156, -0.00028028193628415465, 0.00035607791505753994, 0.738054633140564]",0.0009134906047043571,"[-0.9407429695129395, -1.5046640634536743, 0.8159221410751343, 0.674740731716156, -0.00028028193628415465, 0.00035607791505753994, 0.738054633140564, -0.38202279806137085, -0.17904648184776306, -0.25384923815727234, -0.06241608411073685, 0.045644909143447876, 0.21798525750637054]","[0.21638965606689453, 0.1702083945274353, -0.007180423010140657, 0.22009120881557465, -0.19810928404331207, 0.002244866220280528, 0.0012197054456919432, -0.0004021887725684792, -0.003962353803217411, 0.5961817502975464, 0.6775603294372559, -0.3392569422721863, -0.3417682349681854, 3.533207927830517e-05, -1.8792443370330147e-05, -0.001373382518067956, -0.0010753050446510315, -9.088418300962076e-05, 0.0030955353286117315, 0.002153579145669937, 0.0033509593922644854, 1.6138106730068102e-05, -9.886446787277237e-05, 0.7181077003479004, 0.5796610713005066, -0.3953433930873871, -0.39036425948143005, -5.6594490160932764e-05, -0.0007890822016634047]","[-0.22054462134838104, 0.3262242376804352, -0.38556811213493347, -0.12174353748559952, -0.03380509093403816, -0.10572636127471924, 0.07880619168281555, -0.008222592063248158, -0.07731922715902328, 0.16969892382621765, -1.0592784881591797, 0.4991391599178314, -0.2034754753112793, 0.0025647738948464394, 0.00034090669942088425, 0.04030831158161163, 0.1331600844860077, 0.0012366378214210272, 0.036467425525188446, -0.06343583017587662, 0.40777087211608887, 0.009151693433523178, -0.0010566808050498366, -0.724645733833313, 1.5668107271194458, 0.5584920644760132, 1.4272079467773438, 0.0015017061959952116, -0.26616784930229187]"
zero,legacy_raw,matrix,4,2,5,0.025,right_ankle_roll_link,unresolved_sensor_net,78.01594543457031,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8159221410751343,"[0.674740731716156, -0.00028028193628415465, 0.00035607791505753994, 0.738054633140564]",0.0009134906047043571,"[-0.9407429695129395, -1.5046640634536743, 0.8159221410751343, 0.674740731716156, -0.00028028193628415465, 0.00035607791505753994, 0.738054633140564, -0.38202279806137085, -0.17904648184776306, -0.25384923815727234, -0.06241608411073685, 0.045644909143447876, 0.21798525750637054]","[0.21638965606689453, 0.1702083945274353, -0.007180423010140657, 0.22009120881557465, -0.19810928404331207, 0.002244866220280528, 0.0012197054456919432, -0.0004021887725684792, -0.003962353803217411, 0.5961817502975464, 0.6775603294372559, -0.3392569422721863, -0.3417682349681854, 3.533207927830517e-05, -1.8792443370330147e-05, -0.001373382518067956, -0.0010753050446510315, -9.088418300962076e-05, 0.0030955353286117315, 0.002153579145669937, 0.0033509593922644854, 1.6138106730068102e-05, -9.886446787277237e-05, 0.7181077003479004, 0.5796610713005066, -0.3953433930873871, -0.39036425948143005, -5.6594490160932764e-05, -0.0007890822016634047]","[-0.22054462134838104, 0.3262242376804352, -0.38556811213493347, -0.12174353748559952, -0.03380509093403816, -0.10572636127471924, 0.07880619168281555, -0.008222592063248158, -0.07731922715902328, 0.16969892382621765, -1.0592784881591797, 0.4991391599178314, -0.2034754753112793, 0.0025647738948464394, 0.00034090669942088425, 0.04030831158161163, 0.1331600844860077, 0.0012366378214210272, 0.036467425525188446, -0.06343583017587662, 0.40777087211608887, 0.009151693433523178, -0.0010566808050498366, -0.724645733833313, 1.5668107271194458, 0.5584920644760132, 1.4272079467773438, 0.0015017061959952116, -0.26616784930229187]"
zero,legacy_raw,matrix,2,2,6,0.03,right_ankle_roll_link,/World/ground/terrain/GroundPlane/CollisionPlane,70.9992904663086,"[[1.5098894834518433, -1.5961641073226929, 0.01283904816955328], [1.4446136951446533, -1.528997778892517, 0.0035366551019251347], [1.4333972930908203, -1.5279204845428467, 0.0005205735797062516], [1.424405574798584, -1.5327216386795044, 0.0002073977520922199], [1.4179285764694214, -1.5405967235565186, 0.0003726525465026498], [1.4167693853378296, -1.551815152168274, 0.003270076122134924], [1.469670057296753, -1.6291224956512451, 0.012454030103981495], [1.5413196086883545, -1.6345881223678589, 0.018819091841578484], [1.5011000633239746, -1.6675465106964111, 0.0184340737760067]]",False,False,False,True,not_established,robot_ground_contact,PhysX filtered contact matrix (normal force),0.8163490891456604,"[0.9036622643470764, 0.003593263914808631, -0.0008128311019390821, -0.4282297194004059]",0.007364813094317351,"[1.52925443649292, -1.4833160638809204, 0.8163490891456604, 0.9036622643470764, 0.003593263914808631, -0.0008128311019390821, -0.4282297194004059, 0.09537354856729507, -0.07650722563266754, -0.2375374287366867, 0.23479872941970825, -0.17279082536697388, -0.16407804191112518]","[0.18732330203056335, 0.20787319540977478, -0.004663192201405764, 0.1773395985364914, -0.20485733449459076, 0.006172139197587967, -0.0007067968836054206, 0.0007670596241950989, -0.0030097714625298977, 0.6698551774024963, 0.6156260967254639, -0.35153308510780334, -0.29632070660591125, -5.498892642208375e-05, -6.47896304144524e-05, -0.0018871478969231248, -0.0019454974681138992, 0.00285222171805799, 0.001100440975278616, 0.004497785121202469, 0.006368250120431185, 6.156162999104708e-05, 0.00020374618179630488, 0.7450007796287537, 0.5798920392990112, -0.3137384057044983, -0.3903627097606659, -0.0001492747396696359, -0.0014958727406337857]","[0.3864607810974121, -0.14405451714992523, -0.20541003346443176, 0.08778055757284164, 0.04231759533286095, -0.014474879950284958, -0.049960244446992874, -0.008388230577111244, 0.046669427305459976, -0.9207080006599426, -0.1649160236120224, 0.543144166469574, -0.46568530797958374, 0.0018823053687810898, 0.0003462518216110766, 0.03007686883211136, 0.1705802083015442, 0.005538329016417265, 0.009421654976904392, -0.08614885807037354, 0.6544325351715088, -0.004164084792137146, 0.0007165572606027126, -1.216665267944336, 1.677506685256958, -0.8311669826507568, 1.3480406999588013, 0.002813998842611909, -0.4258127808570862]"
zero,legacy_raw,matrix,4,2,6,0.03,right_ankle_roll_link,/World/ground/terrain/GroundPlane/CollisionPlane,84.90705871582031,"[[-0.8580514788627625, -1.3903131484985352, 0.01641193963587284], [-0.8419232964515686, -1.482069730758667, 0.0035594585351645947], [-0.8332598209381104, -1.4892364740371704, 0.00030247459653764963], [-0.8231248259544373, -1.4903264045715332, -4.067420832143398e-06], [-0.8133370280265808, -1.4874815940856934, 0.00032180140260607004], [-0.8060622215270996, -1.4789106845855713, 0.003594266716390848], [-0.8062520623207092, -1.3857501745224, 0.01646219566464424]]",False,False,False,True,not_established,robot_ground_contact,PhysX filtered contact matrix (normal force),0.8144473433494568,"[0.6743244528770447, -0.00027305667754262686, 0.0006054957048036158, 0.7384347915649414]",0.0013372133747892698,"[-0.9427332878112793, -1.50563645362854, 0.8144473433494568, 0.6743244528770447, -0.00027305667754262686, 0.0006054957048036158, 0.7384347915649414, -0.3874073922634125, -0.1824084222316742, -0.2917286455631256, -0.07098446041345596, 0.07966727018356323, 0.23063266277313232]","[0.21513693034648895, 0.17181867361068726, -0.009223433211445808, 0.2192404717206955, -0.1984214037656784, 0.001085478812456131, 0.0016010534018278122, -0.0004846664669457823, -0.004060843959450722, 0.5972515344619751, 0.6723030805587769, -0.33681046962738037, -0.3430769145488739, 4.943678140989505e-05, -1.593299202795606e-05, -0.0008660772000439465, -5.265809522825293e-05, -4.67044701508712e-05, 0.0031695307698100805, 0.001407048781402409, 0.0057891374453902245, 7.05402489984408e-05, -0.00010645057773217559, 0.714573860168457, 0.5879624485969543, -0.39266082644462585, -0.38172319531440735, -3.455597470747307e-05, -0.002289768308401108]","[-0.2589097023010254, 0.3268495202064514, -0.41879069805145264, -0.19008968770503998, -0.07453877478837967, -0.28227996826171875, 0.06970830261707306, -0.01881490834057331, 0.023248162120580673, 0.223921999335289, -1.0504599809646606, 0.4885830283164978, -0.24994592368602753, 0.0022822844330221415, 0.0006666063563898206, 0.116950623691082, 0.19386698305606842, 0.01757204160094261, 0.0008928455645218492, -0.19093331694602966, 0.4353099763393402, 0.011206195689737797, -0.0015610643895342946, -0.6992776989936829, 1.6499937772750854, 0.518807053565979, 1.5779812335968018, 0.0063142855651676655, -0.24128352105617523]"
zero,legacy_raw,matrix,2,2,6,0.03,right_ankle_roll_link,unresolved_sensor_net,70.9992904663086,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8163490891456604,"[0.9036622643470764, 0.003593263914808631, -0.0008128311019390821, -0.4282297194004059]",0.007364813094317351,"[1.52925443649292, -1.4833160638809204, 0.8163490891456604, 0.9036622643470764, 0.003593263914808631, -0.0008128311019390821, -0.4282297194004059, 0.09537354856729507, -0.07650722563266754, -0.2375374287366867, 0.23479872941970825, -0.17279082536697388, -0.16407804191112518]","[0.18732330203056335, 0.20787319540977478, -0.004663192201405764, 0.1773395985364914, -0.20485733449459076, 0.006172139197587967, -0.0007067968836054206, 0.0007670596241950989, -0.0030097714625298977, 0.6698551774024963, 0.6156260967254639, -0.35153308510780334, -0.29632070660591125, -5.498892642208375e-05, -6.47896304144524e-05, -0.0018871478969231248, -0.0019454974681138992, 0.00285222171805799, 0.001100440975278616, 0.004497785121202469, 0.006368250120431185, 6.156162999104708e-05, 0.00020374618179630488, 0.7450007796287537, 0.5798920392990112, -0.3137384057044983, -0.3903627097606659, -0.0001492747396696359, -0.0014958727406337857]","[0.3864607810974121, -0.14405451714992523, -0.20541003346443176, 0.08778055757284164, 0.04231759533286095, -0.014474879950284958, -0.049960244446992874, -0.008388230577111244, 0.046669427305459976, -0.9207080006599426, -0.1649160236120224, 0.543144166469574, -0.46568530797958374, 0.0018823053687810898, 0.0003462518216110766, 0.03007686883211136, 0.1705802083015442, 0.005538329016417265, 0.009421654976904392, -0.08614885807037354, 0.6544325351715088, -0.004164084792137146, 0.0007165572606027126, -1.216665267944336, 1.677506685256958, -0.8311669826507568, 1.3480406999588013, 0.002813998842611909, -0.4258127808570862]"
zero,legacy_raw,matrix,4,2,6,0.03,right_ankle_roll_link,unresolved_sensor_net,84.90705871582031,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8144473433494568,"[0.6743244528770447, -0.00027305667754262686, 0.0006054957048036158, 0.7384347915649414]",0.0013372133747892698,"[-0.9427332878112793, -1.50563645362854, 0.8144473433494568, 0.6743244528770447, -0.00027305667754262686, 0.0006054957048036158, 0.7384347915649414, -0.3874073922634125, -0.1824084222316742, -0.2917286455631256, -0.07098446041345596, 0.07966727018356323, 0.23063266277313232]","[0.21513693034648895, 0.17181867361068726, -0.009223433211445808, 0.2192404717206955, -0.1984214037656784, 0.001085478812456131, 0.0016010534018278122, -0.0004846664669457823, -0.004060843959450722, 0.5972515344619751, 0.6723030805587769, -0.33681046962738037, -0.3430769145488739, 4.943678140989505e-05, -1.593299202795606e-05, -0.0008660772000439465, -5.265809522825293e-05, -4.67044701508712e-05, 0.0031695307698100805, 0.001407048781402409, 0.0057891374453902245, 7.05402489984408e-05, -0.00010645057773217559, 0.714573860168457, 0.5879624485969543, -0.39266082644462585, -0.38172319531440735, -3.455597470747307e-05, -0.002289768308401108]","[-0.2589097023010254, 0.3268495202064514, -0.41879069805145264, -0.19008968770503998, -0.07453877478837967, -0.28227996826171875, 0.06970830261707306, -0.01881490834057331, 0.023248162120580673, 0.223921999335289, -1.0504599809646606, 0.4885830283164978, -0.24994592368602753, 0.0022822844330221415, 0.0006666063563898206, 0.116950623691082, 0.19386698305606842, 0.01757204160094261, 0.0008928455645218492, -0.19093331694602966, 0.4353099763393402, 0.011206195689737797, -0.0015610643895342946, -0.6992776989936829, 1.6499937772750854, 0.518807053565979, 1.5779812335968018, 0.0063142855651676655, -0.24128352105617523]"
zero,legacy_raw,matrix,2,2,7,0.035,right_ankle_roll_link,/World/ground/terrain/GroundPlane/CollisionPlane,81.5726547241211,"[[1.5105947256088257, -1.5949599742889404, 0.011581682600080967], [1.4451872110366821, -1.5277702808380127, 0.0032184296287596226], [1.5486317873001099, -1.6666139364242554, 0.020236369222402573], [1.5421627759933472, -1.6744961738586426, 0.020383184775710106], [1.5331733226776123, -1.6793032884597778, 0.020091276615858078], [1.417362093925476, -1.550611138343811, 0.0029573910869657993], [1.4704030752182007, -1.6279523372650146, 0.011204966343939304], [1.5420970916748047, -1.6333990097045898, 0.01706296019256115], [1.433963656425476, -1.5266958475112915, 0.0002835808554664254], [1.4249743223190308, -1.5315029621124268, -8.158721357176546e-06], [1.418505311012268, -1.539385199546814, 0.0001384873321512714], [1.5019054412841797, -1.666391372680664, 0.016686242073774338]]",False,False,False,True,not_established,robot_ground_contact,PhysX filtered contact matrix (normal force),0.8149588108062744,"[0.9034979939460754, 0.004405509680509567, -0.0009702417883090675, -0.42856836318969727]",0.009023330715602268,"[1.5299301147460938, -1.483427882194519, 0.8149588108062744, 0.9034979939460754, 0.004405509680509567, -0.0009702417883090675, -0.42856836318969727, 0.09997562319040298, -0.06969144195318222, -0.27561450004577637, 0.27689895033836365, -0.20655857026576996, -0.14084070920944214]","[0.1890525221824646, 0.20713546872138977, -0.005822252947837114, 0.1774977594614029, -0.20486995577812195, 0.0053766448982059956, -0.0009699009242467582, 0.0006395400851033628, -0.002668694593012333, 0.665558934211731, 0.614815354347229, -0.34884560108184814, -0.29899144172668457, -4.0545182855566964e-05, -5.8890916989184916e-05, -0.0014252730179578066, -0.0014239773154258728, 0.0028405834455043077, 0.0011192337842658162, 0.0036536382976919413, 0.008792819455265999, 4.369437010609545e-05, 0.00019707325554918498, 0.7390557527542114, 0.5886714458465576, -0.3177415132522583, -0.381728857755661, -0.00011864491534652188, -0.004279210232198238]","[0.32966846227645874, -0.14184275269508362, -0.24408285319805145, 0.01320580393075943, -0.018473800271749496, -0.21794569492340088, -0.060723695904016495, -0.03528432175517082, 0.09124625474214554, -0.8399215936660767, -0.16488899290561676, 0.5359213948249817, -0.5243326425552368, 0.002600135048851371, 0.001311877858825028, 0.1123131811618805, 0.05566028133034706, -0.0034974059090018272, 0.0007278163684532046, -0.20834752917289734, 0.3612886965274811, -0.004688671324402094, -0.0030124858021736145, -1.1694947481155396, 1.737401008605957, -0.7774164080619812, 1.5915369987487793, 0.007587219122797251, -0.46282580494880676]"
zero,legacy_raw,matrix,4,2,7,0.035,right_ankle_roll_link,/World/ground/terrain/GroundPlane/CollisionPlane,102.26130676269531,"[[-0.8594495058059692, -1.3920046091079712, 0.014909843914210796], [-0.8429546356201172, -1.4838993549346924, 0.0033709839917719364], [-0.8342622518539429, -1.4910528659820557, 0.00024491234216839075], [-0.8241225481033325, -1.4921119213104248, -8.042306035349611e-06], [-0.81434565782547, -1.4892295598983765, 0.0003163783112540841], [-0.8071048855781555, -1.4806172847747803, 0.0034995810128748417], [-0.8076664805412292, -1.3872638940811157, 0.015095596201717854]]",False,False,False,True,not_established,robot_ground_contact,PhysX filtered contact matrix (normal force),0.8127905130386353,"[0.6738778948783875, -0.00021755279158242047, 0.0009268893045373261, 0.7388420104980469]",0.0018911054313120804,"[-0.94478440284729, -1.5066345930099487, 0.8127905130386353, 0.6738778948783875, -0.00021755279158242047, 0.0009268893045373261, 0.7388420104980469, -0.3937869668006897, -0.18621109426021576, -0.32711294293403625, -0.07884448021650314, 0.11305436491966248, 0.25026533007621765]","[0.2136894017457962, 0.1734129637479782, -0.011427327990531921, 0.21804413199424744, -0.1989365816116333, -0.0009687955607660115, 0.001914768829010427, -0.0006330498727038503, -0.003688655560836196, 0.5985762476921082, 0.6671730875968933, -0.3344199061393738, -0.344677597284317, 6.283939001150429e-05, -1.1590117537707556e-05, 4.900162821286358e-05, 0.0012314142659306526, 7.762516906950623e-05, 0.0030939236748963594, 6.82211757521145e-05, 0.008216792717576027, 0.0001302955497521907, -0.00011920202086912468, 0.7111809849739075, 0.5965583920478821, -0.39017802476882935, -0.3722591996192932, 8.488702405884396e-06, -0.003667376935482025]","[-0.29841190576553345, 0.3213695287704468, -0.45074552297592163, -0.2596915066242218, -0.1149851456284523, -0.46255117654800415, 0.052791204303503036, -0.03370734676718712, 0.11368764191865921, 0.2721995413303375, -1.0135910511016846, 0.4773222804069519, -0.3146933317184448, 0.002236064290627837, 0.0009509950177744031, 0.2001800537109375, 0.2423776388168335, 0.033307310193777084, -0.024669045582413673, -0.3040250539779663, 0.42737406492233276, 0.011508014053106308, -0.0029519523959606886, -0.66923987865448, 1.69551682472229, 0.47929152846336365, 1.7434444427490234, 0.010210094973444939, -0.22529728710651398]"
zero,legacy_raw,matrix,2,2,7,0.035,right_ankle_roll_link,unresolved_sensor_net,81.5726547241211,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8149588108062744,"[0.9034979939460754, 0.004405509680509567, -0.0009702417883090675, -0.42856836318969727]",0.009023330715602268,"[1.5299301147460938, -1.483427882194519, 0.8149588108062744, 0.9034979939460754, 0.004405509680509567, -0.0009702417883090675, -0.42856836318969727, 0.09997562319040298, -0.06969144195318222, -0.27561450004577637, 0.27689895033836365, -0.20655857026576996, -0.14084070920944214]","[0.1890525221824646, 0.20713546872138977, -0.005822252947837114, 0.1774977594614029, -0.20486995577812195, 0.0053766448982059956, -0.0009699009242467582, 0.0006395400851033628, -0.002668694593012333, 0.665558934211731, 0.614815354347229, -0.34884560108184814, -0.29899144172668457, -4.0545182855566964e-05, -5.8890916989184916e-05, -0.0014252730179578066, -0.0014239773154258728, 0.0028405834455043077, 0.0011192337842658162, 0.0036536382976919413, 0.008792819455265999, 4.369437010609545e-05, 0.00019707325554918498, 0.7390557527542114, 0.5886714458465576, -0.3177415132522583, -0.381728857755661, -0.00011864491534652188, -0.004279210232198238]","[0.32966846227645874, -0.14184275269508362, -0.24408285319805145, 0.01320580393075943, -0.018473800271749496, -0.21794569492340088, -0.060723695904016495, -0.03528432175517082, 0.09124625474214554, -0.8399215936660767, -0.16488899290561676, 0.5359213948249817, -0.5243326425552368, 0.002600135048851371, 0.001311877858825028, 0.1123131811618805, 0.05566028133034706, -0.0034974059090018272, 0.0007278163684532046, -0.20834752917289734, 0.3612886965274811, -0.004688671324402094, -0.0030124858021736145, -1.1694947481155396, 1.737401008605957, -0.7774164080619812, 1.5915369987487793, 0.007587219122797251, -0.46282580494880676]"
zero,legacy_raw,matrix,4,2,7,0.035,right_ankle_roll_link,unresolved_sensor_net,102.26130676269531,[],,False,False,True,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.8127905130386353,"[0.6738778948783875, -0.00021755279158242047, 0.0009268893045373261, 0.7388420104980469]",0.0018911054313120804,"[-0.94478440284729, -1.5066345930099487, 0.8127905130386353, 0.6738778948783875, -0.00021755279158242047, 0.0009268893045373261, 0.7388420104980469, -0.3937869668006897, -0.18621109426021576, -0.32711294293403625, -0.07884448021650314, 0.11305436491966248, 0.25026533007621765]","[0.2136894017457962, 0.1734129637479782, -0.011427327990531921, 0.21804413199424744, -0.1989365816116333, -0.0009687955607660115, 0.001914768829010427, -0.0006330498727038503, -0.003688655560836196, 0.5985762476921082, 0.6671730875968933, -0.3344199061393738, -0.344677597284317, 6.283939001150429e-05, -1.1590117537707556e-05, 4.900162821286358e-05, 0.0012314142659306526, 7.762516906950623e-05, 0.0030939236748963594, 6.82211757521145e-05, 0.008216792717576027, 0.0001302955497521907, -0.00011920202086912468, 0.7111809849739075, 0.5965583920478821, -0.39017802476882935, -0.3722591996192932, 8.488702405884396e-06, -0.003667376935482025]","[-0.29841190576553345, 0.3213695287704468, -0.45074552297592163, -0.2596915066242218, -0.1149851456284523, -0.46255117654800415, 0.052791204303503036, -0.03370734676718712, 0.11368764191865921, 0.2721995413303375, -1.0135910511016846, 0.4773222804069519, -0.3146933317184448, 0.002236064290627837, 0.0009509950177744031, 0.2001800537109375, 0.2423776388168335, 0.033307310193777084, -0.024669045582413673, -0.3040250539779663, 0.42737406492233276, 0.011508014053106308, -0.0029519523959606886, -0.66923987865448, 1.69551682472229, 0.47929152846336365, 1.7434444427490234, 0.010210094973444939, -0.22529728710651398]"
