controller,action_mode,mode,case_id,control_step,physics_step,contact_time_s,link_a,link_b,contact_force_N,contact_points,self_collision,primary_fall_at_sample,primary_fall_same_control_step,episode_primary_fall,causes_primary_fall,classification,evidence,root_height_m,root_orientation_quat,root_tilt_rad,root_state,joint_position,joint_velocity,geometry_min_z_m,ground_prim_candidate
zero,legacy_raw,ground_positive,0,4,15,0.075,left_shoulder_yaw_link,/World/ground/terrain/GroundPlane/CollisionPlane,45.719058990478516,"[[-0.07043133676052094, 0.18200859427452087, 0.004083083942532539]]",False,True,,,not_established,robot_ground_contact,PhysX filtered contact matrix (normal force),0.07056999951601028,"[0.7071067690849304, 5.947149456925205e-12, -0.7071067690849304, -3.3048237757515864e-11]",1.5707962671902518,"[-2.9802322387695312e-08, 0.0, 0.07056999951601028, 0.7071067690849304, 5.947149456925205e-12, -0.7071067690849304, -3.3048237757515864e-11, -0.01166809443384409, -2.4711805508559337e-06, -0.7243699431419373, -0.0002511837228666991, 0.02635345794260502, 1.188817464026215e-06]","[0.20000000298023224, 0.20000000298023224, -1.0496200353315999e-08, 0.20000000298023224, -0.20000000298023224, -8.233638215671135e-10, 5.084122012277703e-10, -2.2410413802465e-10, 5.00081576149114e-09, 0.6000000238418579, 0.6000000238418579, -0.31200000643730164, -0.31200000643730164, -8.341197177408333e-11, 1.649000241910059e-10, -3.955144545209066e-11, 2.0686815108139633e-11, -2.2152459866475738e-09, -3.6757825672140143e-09, -2.906664076096632e-10, -1.1174007552572363e-10, -1.8326392486889276e-11, 1.1229666502243774e-11, 0.6690000295639038, 0.6690000295639038, -0.3630000054836273, -0.3630000054836273, 1.4246595222977554e-11, 1.73622019539188e-11]","[-0.41638174653053284, -0.4155111312866211, -0.0031592221930623055, 0.019293315708637238, -0.019269123673439026, -3.2095815640786896e-06, -0.017234478145837784, 0.017027007415890694, -0.00022580054064746946, 0.7375146746635437, 0.736569881439209, 0.0028350709471851587, 0.0028510799165815115, -0.004238061141222715, 0.004255380481481552, 0.0008384405518881977, -0.0008438637014478445, -0.10175960510969162, -0.10175693035125732, 0.0017549613257870078, -0.0017818028572946787, 0.012691301293671131, -0.012757079675793648, -0.04707705229520798, -0.047086089849472046, 0.017769834026694298, 0.017764920368790627, 6.343768473016098e-05, -6.359975668601692e-05]",,
zero,legacy_raw,ground_positive,0,4,15,0.075,right_shoulder_yaw_link,/World/ground/terrain/GroundPlane/CollisionPlane,45.67369079589844,"[[-0.07043113559484482, -0.18199758231639862, 0.004083087667822838]]",False,True,,,not_established,robot_ground_contact,PhysX filtered contact matrix (normal force),0.07056999951601028,"[0.7071067690849304, 5.947149456925205e-12, -0.7071067690849304, -3.3048237757515864e-11]",1.5707962671902518,"[-2.9802322387695312e-08, 0.0, 0.07056999951601028, 0.7071067690849304, 5.947149456925205e-12, -0.7071067690849304, -3.3048237757515864e-11, -0.01166809443384409, -2.4711805508559337e-06, -0.7243699431419373, -0.0002511837228666991, 0.02635345794260502, 1.188817464026215e-06]","[0.20000000298023224, 0.20000000298023224, -1.0496200353315999e-08, 0.20000000298023224, -0.20000000298023224, -8.233638215671135e-10, 5.084122012277703e-10, -2.2410413802465e-10, 5.00081576149114e-09, 0.6000000238418579, 0.6000000238418579, -0.31200000643730164, -0.31200000643730164, -8.341197177408333e-11, 1.649000241910059e-10, -3.955144545209066e-11, 2.0686815108139633e-11, -2.2152459866475738e-09, -3.6757825672140143e-09, -2.906664076096632e-10, -1.1174007552572363e-10, -1.8326392486889276e-11, 1.1229666502243774e-11, 0.6690000295639038, 0.6690000295639038, -0.3630000054836273, -0.3630000054836273, 1.4246595222977554e-11, 1.73622019539188e-11]","[-0.41638174653053284, -0.4155111312866211, -0.0031592221930623055, 0.019293315708637238, -0.019269123673439026, -3.2095815640786896e-06, -0.017234478145837784, 0.017027007415890694, -0.00022580054064746946, 0.7375146746635437, 0.736569881439209, 0.0028350709471851587, 0.0028510799165815115, -0.004238061141222715, 0.004255380481481552, 0.0008384405518881977, -0.0008438637014478445, -0.10175960510969162, -0.10175693035125732, 0.0017549613257870078, -0.0017818028572946787, 0.012691301293671131, -0.012757079675793648, -0.04707705229520798, -0.047086089849472046, 0.017769834026694298, 0.017764920368790627, 6.343768473016098e-05, -6.359975668601692e-05]",,
zero,legacy_raw,ground_positive,0,4,15,0.075,left_shoulder_yaw_link,unresolved_sensor_net,45.719058990478516,[],,True,,,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.07056999951601028,"[0.7071067690849304, 5.947149456925205e-12, -0.7071067690849304, -3.3048237757515864e-11]",1.5707962671902518,"[-2.9802322387695312e-08, 0.0, 0.07056999951601028, 0.7071067690849304, 5.947149456925205e-12, -0.7071067690849304, -3.3048237757515864e-11, -0.01166809443384409, -2.4711805508559337e-06, -0.7243699431419373, -0.0002511837228666991, 0.02635345794260502, 1.188817464026215e-06]","[0.20000000298023224, 0.20000000298023224, -1.0496200353315999e-08, 0.20000000298023224, -0.20000000298023224, -8.233638215671135e-10, 5.084122012277703e-10, -2.2410413802465e-10, 5.00081576149114e-09, 0.6000000238418579, 0.6000000238418579, -0.31200000643730164, -0.31200000643730164, -8.341197177408333e-11, 1.649000241910059e-10, -3.955144545209066e-11, 2.0686815108139633e-11, -2.2152459866475738e-09, -3.6757825672140143e-09, -2.906664076096632e-10, -1.1174007552572363e-10, -1.8326392486889276e-11, 1.1229666502243774e-11, 0.6690000295639038, 0.6690000295639038, -0.3630000054836273, -0.3630000054836273, 1.4246595222977554e-11, 1.73622019539188e-11]","[-0.41638174653053284, -0.4155111312866211, -0.0031592221930623055, 0.019293315708637238, -0.019269123673439026, -3.2095815640786896e-06, -0.017234478145837784, 0.017027007415890694, -0.00022580054064746946, 0.7375146746635437, 0.736569881439209, 0.0028350709471851587, 0.0028510799165815115, -0.004238061141222715, 0.004255380481481552, 0.0008384405518881977, -0.0008438637014478445, -0.10175960510969162, -0.10175693035125732, 0.0017549613257870078, -0.0017818028572946787, 0.012691301293671131, -0.012757079675793648, -0.04707705229520798, -0.047086089849472046, 0.017769834026694298, 0.017764920368790627, 6.343768473016098e-05, -6.359975668601692e-05]",,
zero,legacy_raw,ground_positive,0,4,15,0.075,right_shoulder_yaw_link,unresolved_sensor_net,45.67369079589844,[],,True,,,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.07056999951601028,"[0.7071067690849304, 5.947149456925205e-12, -0.7071067690849304, -3.3048237757515864e-11]",1.5707962671902518,"[-2.9802322387695312e-08, 0.0, 0.07056999951601028, 0.7071067690849304, 5.947149456925205e-12, -0.7071067690849304, -3.3048237757515864e-11, -0.01166809443384409, -2.4711805508559337e-06, -0.7243699431419373, -0.0002511837228666991, 0.02635345794260502, 1.188817464026215e-06]","[0.20000000298023224, 0.20000000298023224, -1.0496200353315999e-08, 0.20000000298023224, -0.20000000298023224, -8.233638215671135e-10, 5.084122012277703e-10, -2.2410413802465e-10, 5.00081576149114e-09, 0.6000000238418579, 0.6000000238418579, -0.31200000643730164, -0.31200000643730164, -8.341197177408333e-11, 1.649000241910059e-10, -3.955144545209066e-11, 2.0686815108139633e-11, -2.2152459866475738e-09, -3.6757825672140143e-09, -2.906664076096632e-10, -1.1174007552572363e-10, -1.8326392486889276e-11, 1.1229666502243774e-11, 0.6690000295639038, 0.6690000295639038, -0.3630000054836273, -0.3630000054836273, 1.4246595222977554e-11, 1.73622019539188e-11]","[-0.41638174653053284, -0.4155111312866211, -0.0031592221930623055, 0.019293315708637238, -0.019269123673439026, -3.2095815640786896e-06, -0.017234478145837784, 0.017027007415890694, -0.00022580054064746946, 0.7375146746635437, 0.736569881439209, 0.0028350709471851587, 0.0028510799165815115, -0.004238061141222715, 0.004255380481481552, 0.0008384405518881977, -0.0008438637014478445, -0.10175960510969162, -0.10175693035125732, 0.0017549613257870078, -0.0017818028572946787, 0.012691301293671131, -0.012757079675793648, -0.04707705229520798, -0.047086089849472046, 0.017769834026694298, 0.017764920368790627, 6.343768473016098e-05, -6.359975668601692e-05]",,
zero,legacy_raw,ground_positive,0,4,16,0.08,left_shoulder_yaw_link,/World/ground/terrain/GroundPlane/CollisionPlane,413.0853271484375,"[[-0.07043133676052094, 0.18200859427452087, 0.00040432275272905827]]",False,True,,,not_established,robot_ground_contact,PhysX filtered contact matrix (normal force),0.06752987205982208,"[0.707911491394043, 0.00042907590977847576, -0.7063008546829224, -0.0004129124863538891]",1.568518473720344,"[-0.00025959312915802, -1.1496857041493058e-05, 0.06752987205982208, 0.707911491394043, 0.00042907590977847576, -0.7063008546829224, -0.0004129124863538891, 0.013479617424309254, -0.003869022708386183, -0.08630207180976868, -1.2508141994476318, 1.278533935546875, 0.03850596398115158]","[0.18830503523349762, 0.18606257438659668, 0.0024894126690924168, 0.20068669319152832, -0.20095938444137573, 5.044425779487938e-05, 0.00037018448347225785, 0.0013579848455265164, 0.0010529814753681421, 0.6208169460296631, 0.6221107244491577, -0.31579872965812683, -0.3159042298793793, -8.696517761563882e-05, 3.443844252615236e-05, 2.3406179025187157e-05, 1.3291955838212743e-06, -0.0009128667879849672, -0.0005564644234254956, 0.00014238223957363516, 9.667445556260645e-05, 0.0002739007177297026, -0.0001263598387595266, 0.6678357124328613, 0.6679276823997498, -0.3629325032234192, -0.3629317283630371, -7.5248058237775695e-06, -8.392355084652081e-06]","[-2.3794453144073486, -0.025906920433044434, 1.3618309497833252, 0.1640259027481079, 0.016764014959335327, -0.07989362627267838, -0.5807994604110718, -0.9721615314483643, -1.1500921249389648, 3.1042580604553223, 1.5728744268417358, -2.4536261558532715, -2.3747425079345703, 0.0381707027554512, 0.020420745015144348, -0.019447045400738716, -0.013101181946694851, 0.003328979015350342, -0.31264713406562805, -0.098772332072258, -0.08614754676818848, -0.16874192655086517, -0.09195804595947266, -0.04512514919042587, -0.12078643590211868, -0.15553238987922668, -0.15971261262893677, 0.00598275288939476, 0.006182115525007248]",,
zero,legacy_raw,ground_positive,0,4,16,0.08,right_shoulder_yaw_link,/World/ground/terrain/GroundPlane/CollisionPlane,401.4259338378906,"[[-0.07043112814426422, -0.18199758231639862, 0.00040431530214846134]]",False,True,,,not_established,robot_ground_contact,PhysX filtered contact matrix (normal force),0.06752987205982208,"[0.707911491394043, 0.00042907590977847576, -0.7063008546829224, -0.0004129124863538891]",1.568518473720344,"[-0.00025959312915802, -1.1496857041493058e-05, 0.06752987205982208, 0.707911491394043, 0.00042907590977847576, -0.7063008546829224, -0.0004129124863538891, 0.013479617424309254, -0.003869022708386183, -0.08630207180976868, -1.2508141994476318, 1.278533935546875, 0.03850596398115158]","[0.18830503523349762, 0.18606257438659668, 0.0024894126690924168, 0.20068669319152832, -0.20095938444137573, 5.044425779487938e-05, 0.00037018448347225785, 0.0013579848455265164, 0.0010529814753681421, 0.6208169460296631, 0.6221107244491577, -0.31579872965812683, -0.3159042298793793, -8.696517761563882e-05, 3.443844252615236e-05, 2.3406179025187157e-05, 1.3291955838212743e-06, -0.0009128667879849672, -0.0005564644234254956, 0.00014238223957363516, 9.667445556260645e-05, 0.0002739007177297026, -0.0001263598387595266, 0.6678357124328613, 0.6679276823997498, -0.3629325032234192, -0.3629317283630371, -7.5248058237775695e-06, -8.392355084652081e-06]","[-2.3794453144073486, -0.025906920433044434, 1.3618309497833252, 0.1640259027481079, 0.016764014959335327, -0.07989362627267838, -0.5807994604110718, -0.9721615314483643, -1.1500921249389648, 3.1042580604553223, 1.5728744268417358, -2.4536261558532715, -2.3747425079345703, 0.0381707027554512, 0.020420745015144348, -0.019447045400738716, -0.013101181946694851, 0.003328979015350342, -0.31264713406562805, -0.098772332072258, -0.08614754676818848, -0.16874192655086517, -0.09195804595947266, -0.04512514919042587, -0.12078643590211868, -0.15553238987922668, -0.15971261262893677, 0.00598275288939476, 0.006182115525007248]",,
zero,legacy_raw,ground_positive,0,4,16,0.08,torso_link,/World/ground/terrain/GroundPlane/CollisionPlane,1348.1910400390625,"[[-0.22000016272068024, 0.03200000524520874, 0.002569977892562747], [-0.13000012934207916, 0.028000004589557648, 0.005569991189986467], [-0.060000091791152954, 0.020000001415610313, 0.010570008307695389], [-0.4200000464916229, -3.619926758346992e-08, 0.012569930404424667], [-0.21999992430210114, -0.03200000524520874, 0.00256997044198215], [-0.12999993562698364, -0.028000004589557648, 0.005569991189986467], [-0.059999942779541016, -0.020000001415610313, 0.010570008307695389], [-0.4100000560283661, 3.619926758346992e-08, 0.012569930404424667]]",False,True,,,not_established,robot_ground_contact,PhysX filtered contact matrix (normal force),0.06752987205982208,"[0.707911491394043, 0.00042907590977847576, -0.7063008546829224, -0.0004129124863538891]",1.568518473720344,"[-0.00025959312915802, -1.1496857041493058e-05, 0.06752987205982208, 0.707911491394043, 0.00042907590977847576, -0.7063008546829224, -0.0004129124863538891, 0.013479617424309254, -0.003869022708386183, -0.08630207180976868, -1.2508141994476318, 1.278533935546875, 0.03850596398115158]","[0.18830503523349762, 0.18606257438659668, 0.0024894126690924168, 0.20068669319152832, -0.20095938444137573, 5.044425779487938e-05, 0.00037018448347225785, 0.0013579848455265164, 0.0010529814753681421, 0.6208169460296631, 0.6221107244491577, -0.31579872965812683, -0.3159042298793793, -8.696517761563882e-05, 3.443844252615236e-05, 2.3406179025187157e-05, 1.3291955838212743e-06, -0.0009128667879849672, -0.0005564644234254956, 0.00014238223957363516, 9.667445556260645e-05, 0.0002739007177297026, -0.0001263598387595266, 0.6678357124328613, 0.6679276823997498, -0.3629325032234192, -0.3629317283630371, -7.5248058237775695e-06, -8.392355084652081e-06]","[-2.3794453144073486, -0.025906920433044434, 1.3618309497833252, 0.1640259027481079, 0.016764014959335327, -0.07989362627267838, -0.5807994604110718, -0.9721615314483643, -1.1500921249389648, 3.1042580604553223, 1.5728744268417358, -2.4536261558532715, -2.3747425079345703, 0.0381707027554512, 0.020420745015144348, -0.019447045400738716, -0.013101181946694851, 0.003328979015350342, -0.31264713406562805, -0.098772332072258, -0.08614754676818848, -0.16874192655086517, -0.09195804595947266, -0.04512514919042587, -0.12078643590211868, -0.15553238987922668, -0.15971261262893677, 0.00598275288939476, 0.006182115525007248]",,
zero,legacy_raw,ground_positive,0,4,16,0.08,torso_link,unresolved_sensor_net,1348.1910400390625,[],,True,,,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.06752987205982208,"[0.707911491394043, 0.00042907590977847576, -0.7063008546829224, -0.0004129124863538891]",1.568518473720344,"[-0.00025959312915802, -1.1496857041493058e-05, 0.06752987205982208, 0.707911491394043, 0.00042907590977847576, -0.7063008546829224, -0.0004129124863538891, 0.013479617424309254, -0.003869022708386183, -0.08630207180976868, -1.2508141994476318, 1.278533935546875, 0.03850596398115158]","[0.18830503523349762, 0.18606257438659668, 0.0024894126690924168, 0.20068669319152832, -0.20095938444137573, 5.044425779487938e-05, 0.00037018448347225785, 0.0013579848455265164, 0.0010529814753681421, 0.6208169460296631, 0.6221107244491577, -0.31579872965812683, -0.3159042298793793, -8.696517761563882e-05, 3.443844252615236e-05, 2.3406179025187157e-05, 1.3291955838212743e-06, -0.0009128667879849672, -0.0005564644234254956, 0.00014238223957363516, 9.667445556260645e-05, 0.0002739007177297026, -0.0001263598387595266, 0.6678357124328613, 0.6679276823997498, -0.3629325032234192, -0.3629317283630371, -7.5248058237775695e-06, -8.392355084652081e-06]","[-2.3794453144073486, -0.025906920433044434, 1.3618309497833252, 0.1640259027481079, 0.016764014959335327, -0.07989362627267838, -0.5807994604110718, -0.9721615314483643, -1.1500921249389648, 3.1042580604553223, 1.5728744268417358, -2.4536261558532715, -2.3747425079345703, 0.0381707027554512, 0.020420745015144348, -0.019447045400738716, -0.013101181946694851, 0.003328979015350342, -0.31264713406562805, -0.098772332072258, -0.08614754676818848, -0.16874192655086517, -0.09195804595947266, -0.04512514919042587, -0.12078643590211868, -0.15553238987922668, -0.15971261262893677, 0.00598275288939476, 0.006182115525007248]",,
zero,legacy_raw,ground_positive,0,4,16,0.08,left_shoulder_yaw_link,unresolved_sensor_net,413.0853271484375,[],,True,,,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.06752987205982208,"[0.707911491394043, 0.00042907590977847576, -0.7063008546829224, -0.0004129124863538891]",1.568518473720344,"[-0.00025959312915802, -1.1496857041493058e-05, 0.06752987205982208, 0.707911491394043, 0.00042907590977847576, -0.7063008546829224, -0.0004129124863538891, 0.013479617424309254, -0.003869022708386183, -0.08630207180976868, -1.2508141994476318, 1.278533935546875, 0.03850596398115158]","[0.18830503523349762, 0.18606257438659668, 0.0024894126690924168, 0.20068669319152832, -0.20095938444137573, 5.044425779487938e-05, 0.00037018448347225785, 0.0013579848455265164, 0.0010529814753681421, 0.6208169460296631, 0.6221107244491577, -0.31579872965812683, -0.3159042298793793, -8.696517761563882e-05, 3.443844252615236e-05, 2.3406179025187157e-05, 1.3291955838212743e-06, -0.0009128667879849672, -0.0005564644234254956, 0.00014238223957363516, 9.667445556260645e-05, 0.0002739007177297026, -0.0001263598387595266, 0.6678357124328613, 0.6679276823997498, -0.3629325032234192, -0.3629317283630371, -7.5248058237775695e-06, -8.392355084652081e-06]","[-2.3794453144073486, -0.025906920433044434, 1.3618309497833252, 0.1640259027481079, 0.016764014959335327, -0.07989362627267838, -0.5807994604110718, -0.9721615314483643, -1.1500921249389648, 3.1042580604553223, 1.5728744268417358, -2.4536261558532715, -2.3747425079345703, 0.0381707027554512, 0.020420745015144348, -0.019447045400738716, -0.013101181946694851, 0.003328979015350342, -0.31264713406562805, -0.098772332072258, -0.08614754676818848, -0.16874192655086517, -0.09195804595947266, -0.04512514919042587, -0.12078643590211868, -0.15553238987922668, -0.15971261262893677, 0.00598275288939476, 0.006182115525007248]",,
zero,legacy_raw,ground_positive,0,4,16,0.08,right_shoulder_yaw_link,unresolved_sensor_net,401.4259338378906,[],,True,,,not_established,unconfirmed,"net force; pair rows are separate, not assumed exhaustive",0.06752987205982208,"[0.707911491394043, 0.00042907590977847576, -0.7063008546829224, -0.0004129124863538891]",1.568518473720344,"[-0.00025959312915802, -1.1496857041493058e-05, 0.06752987205982208, 0.707911491394043, 0.00042907590977847576, -0.7063008546829224, -0.0004129124863538891, 0.013479617424309254, -0.003869022708386183, -0.08630207180976868, -1.2508141994476318, 1.278533935546875, 0.03850596398115158]","[0.18830503523349762, 0.18606257438659668, 0.0024894126690924168, 0.20068669319152832, -0.20095938444137573, 5.044425779487938e-05, 0.00037018448347225785, 0.0013579848455265164, 0.0010529814753681421, 0.6208169460296631, 0.6221107244491577, -0.31579872965812683, -0.3159042298793793, -8.696517761563882e-05, 3.443844252615236e-05, 2.3406179025187157e-05, 1.3291955838212743e-06, -0.0009128667879849672, -0.0005564644234254956, 0.00014238223957363516, 9.667445556260645e-05, 0.0002739007177297026, -0.0001263598387595266, 0.6678357124328613, 0.6679276823997498, -0.3629325032234192, -0.3629317283630371, -7.5248058237775695e-06, -8.392355084652081e-06]","[-2.3794453144073486, -0.025906920433044434, 1.3618309497833252, 0.1640259027481079, 0.016764014959335327, -0.07989362627267838, -0.5807994604110718, -0.9721615314483643, -1.1500921249389648, 3.1042580604553223, 1.5728744268417358, -2.4536261558532715, -2.3747425079345703, 0.0381707027554512, 0.020420745015144348, -0.019447045400738716, -0.013101181946694851, 0.003328979015350342, -0.31264713406562805, -0.098772332072258, -0.08614754676818848, -0.16874192655086517, -0.09195804595947266, -0.04512514919042587, -0.12078643590211868, -0.15553238987922668, -0.15971261262893677, 0.00598275288939476, 0.006182115525007248]",,
