controller,action_mode,case_id,control_step,physics_step,contact_time_s,link_a,link_b,contact_force_N,contact_points,self_collision,primary_fall,classification
zero,legacy_raw,0,3,12,0.06,left_ankle_roll_link,unconfirmed,424.9212646484375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,3,12,0.06,right_ankle_roll_link,unconfirmed,425.48248291015625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,3,12,0.06,left_ankle_roll_link,unconfirmed,424.9212646484375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,3,12,0.06,right_ankle_roll_link,unconfirmed,425.48248291015625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,3,12,0.06,left_ankle_roll_link,unconfirmed,424.91253662109375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,3,12,0.06,right_ankle_roll_link,unconfirmed,425.47479248046875,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,3,12,0.06,left_ankle_roll_link,unconfirmed,424.91253662109375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,3,12,0.06,right_ankle_roll_link,unconfirmed,425.47479248046875,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,3,12,0.06,left_ankle_roll_link,unconfirmed,424.9077453613281,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,3,12,0.06,right_ankle_roll_link,unconfirmed,425.4706115722656,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,3,12,0.06,left_ankle_roll_link,unconfirmed,424.9077453613281,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,3,12,0.06,right_ankle_roll_link,unconfirmed,425.47064208984375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,3,12,0.06,left_ankle_roll_link,unconfirmed,424.90380859375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,3,12,0.06,right_ankle_roll_link,unconfirmed,425.46429443359375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,3,12,0.06,left_ankle_roll_link,unconfirmed,424.90380859375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,3,12,0.06,right_ankle_roll_link,unconfirmed,425.46429443359375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,4,16,0.08,left_ankle_roll_link,unconfirmed,235.263427734375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,4,16,0.08,right_ankle_roll_link,unconfirmed,235.81520080566406,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,4,16,0.08,left_ankle_roll_link,unconfirmed,235.2652587890625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,4,16,0.08,right_ankle_roll_link,unconfirmed,235.81857299804688,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,4,16,0.08,left_ankle_roll_link,unconfirmed,235.18392944335938,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,4,16,0.08,right_ankle_roll_link,unconfirmed,235.8818359375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,4,16,0.08,left_ankle_roll_link,unconfirmed,235.18460083007812,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,4,16,0.08,right_ankle_roll_link,unconfirmed,235.8845672607422,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,4,16,0.08,left_ankle_roll_link,unconfirmed,235.1978759765625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,4,16,0.08,right_ankle_roll_link,unconfirmed,235.87295532226562,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,4,16,0.08,left_ankle_roll_link,unconfirmed,235.1978759765625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,4,16,0.08,right_ankle_roll_link,unconfirmed,235.87295532226562,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,4,16,0.08,left_ankle_roll_link,unconfirmed,235.21731567382812,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,4,16,0.08,right_ankle_roll_link,unconfirmed,235.89706420898438,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,4,16,0.08,left_ankle_roll_link,unconfirmed,235.21798706054688,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,4,16,0.08,right_ankle_roll_link,unconfirmed,235.89984130859375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,5,20,0.1,left_ankle_roll_link,unconfirmed,218.05982971191406,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,5,20,0.1,right_ankle_roll_link,unconfirmed,219.1703643798828,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,5,20,0.1,left_ankle_roll_link,unconfirmed,217.06768798828125,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,1,5,20,0.1,right_ankle_roll_link,unconfirmed,219.08953857421875,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,5,20,0.1,left_ankle_roll_link,unconfirmed,217.48068237304688,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,2,5,20,0.1,right_ankle_roll_link,unconfirmed,219.1500701904297,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,5,20,0.1,left_ankle_roll_link,unconfirmed,217.46783447265625,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,3,5,20,0.1,right_ankle_roll_link,unconfirmed,219.130859375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,5,20,0.1,left_ankle_roll_link,unconfirmed,218.0175323486328,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,4,5,20,0.1,right_ankle_roll_link,unconfirmed,219.1234893798828,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,5,20,0.1,left_ankle_roll_link,unconfirmed,218.06219482421875,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,5,5,20,0.1,right_ankle_roll_link,unconfirmed,219.19908142089844,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,5,20,0.1,left_ankle_roll_link,unconfirmed,217.43258666992188,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,6,5,20,0.1,right_ankle_roll_link,unconfirmed,219.01123046875,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,5,20,0.1,left_ankle_roll_link,unconfirmed,218.07708740234375,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,7,5,20,0.1,right_ankle_roll_link,unconfirmed,219.2053680419922,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,6,24,0.12,left_ankle_roll_link,unconfirmed,206.4864959716797,[],False,False,unconfirmed_gpu_filter
zero,legacy_raw,0,6,24,0.12,right_ankle_roll_link,unconfirmed,207.37405395507812,[],False,False,unconfirmed_gpu_filter
