episode_id,env_id,env_episode_id,episode_return,episode_length,episode_seconds,primary_fall,height_failure,tilt_failure,timeout,command_x_mean,command_y_mean,actual_x_mean,actual_y_mean,velocity_tracking_error_mean,velocity_tracking_mean,self_collision_steps,self_collision_max_N,confirmed_nonfoot_ground_steps,confirmed_nonfoot_ground_max_N,foot_ground_steps,action_abs_mean,action_abs_max,target_joint_limit_steps,actual_joint_limit_steps,target_joint_max_excess_rad,actual_joint_max_excess_rad,nonfinite,seed
0,0,0,-4.089133937843144,8,0.16,True,False,True,False,0.04839484393596649,0.43398529291152954,1.6988800093531609,-0.43246401101350784,1.258420117199421,0.007478749496840464,0,0.0,0,0.0,9,0.6330171264708042,3.705906391143799,8,0,1.0649125576019287,0.0,False,12345
1,1,0,-4.020187143643852,9,0.18,True,False,True,False,0.13246354460716248,-0.32669180631637573,1.3691117179890473,0.44131768743197125,0.8765984111362033,0.06853989967041546,2,786.9011840820312,0,0.0,10,0.6117315623495314,3.5963165760040283,9,0,1.057262897491455,0.0,False,12345
2,2,0,-4.352672268170863,9,0.18,True,False,True,False,0.07221298085318671,0.036424742804633245,1.508373197582033,-0.18476823137866127,0.9099463224411011,0.10899218382676029,0,0.0,0,0.0,11,0.601021816333135,3.6551246643066406,9,0,1.083054780960083,0.0,False,12345
3,4,0,-3.9809101102728164,9,0.18,True,False,True,False,0.8618363738059998,0.005036473274230957,1.0873392820358276,0.4726334512233734,0.6730886532200707,0.22273106076237228,0,0.0,0,0.0,12,0.5563033752971225,3.2889087200164795,8,0,0.9224408268928528,0.0,False,12345
4,7,0,-4.070031835348345,9,0.18,True,False,True,False,-0.4304376244544983,0.11374980211257935,1.1052413135766983,-0.17692476014296213,0.8493761685159471,0.11326068246530162,2,1855.5560302734375,0,0.0,9,0.6608039968543582,4.124819278717041,9,0,1.2890522480010986,0.0,False,12345
5,3,0,-3.9499821648932993,10,0.2,True,False,True,False,-0.18342730402946472,-0.12394765019416809,1.027351363003254,0.2494763821363449,0.5957185059785843,0.3091602876782417,2,3032.662841796875,0,0.0,10,0.6190756678581237,3.7057840824127197,10,1,1.1052730083465576,0.00015491247177124023,False,12345
6,5,0,-4.0723437059205025,10,0.2,True,False,True,False,0.013546377420425415,-0.4562090039253235,0.7968628957867623,0.3311634063720703,0.856288081407547,0.05550680439919233,0,0.0,0,0.0,10,0.563287553191185,3.490562677383423,10,0,1.0108816623687744,0.0,False,12345
7,6,0,-3.964804880321026,10,0.2,True,False,True,False,0.2095775455236435,0.05841398239135742,1.2287690743803978,0.05037162862718105,0.3115734815597534,0.661922425031662,4,1601.484130859375,0,0.0,11,0.6104783356189728,3.5320394039154053,9,1,1.0157935619354248,0.00017523765563964844,False,12345
8,0,1,-4.073445885209367,8,0.16,True,False,True,False,0.04839484393596649,0.43398529291152954,1.6365587674081326,-0.4403855726122856,1.2892616838216782,0.006845380308732274,2,163.64987182617188,0,0.0,10,0.6200873889029026,3.7791452407836914,8,0,1.1374475955963135,0.0,False,12345
9,1,1,-4.031154735814198,9,0.18,True,False,True,False,0.13246354460716248,-0.32669180631637573,1.3396730257405176,0.439556790722741,0.8808643751674228,0.06795452281625734,0,0.0,0,0.0,11,0.6034870644410452,3.687922954559326,9,0,1.0974395275115967,0.0,False,12345
10,2,1,-4.395442536100745,9,0.18,True,False,True,False,0.0,0.0,1.5579036706023746,-0.16658414734734428,0.8698772721820407,0.16834434073340768,2,275.9342346191406,0,0.0,11,0.6118878126144409,3.861745834350586,9,0,1.1736743450164795,0.0,False,12345
11,4,1,-3.976657774823252,9,0.18,True,False,True,False,0.8618363738059998,0.005036473274230957,1.2118251274029415,0.4663748111989763,0.6736102667119768,0.2205765719215075,0,0.0,0,0.0,10,0.5721725092993842,3.52821946144104,9,0,1.0273971557617188,0.0,False,12345
12,7,1,-4.08916413327097,9,0.18,True,False,True,False,-0.4304376244544983,0.11374980211257935,1.111977727876769,-0.1657620585627026,0.8482728766070472,0.11531969734157126,4,1853.8511962890625,0,0.0,9,0.6476637356811099,3.941033124923706,9,0,1.2084479331970215,0.0,False,12345
13,3,1,-3.945270881988108,10,0.2,True,False,True,False,-0.18342730402946472,-0.12394765019416809,1.0297230876982213,0.24635987281799315,0.5942281544208526,0.3154039938002825,4,5832.46044921875,0,0.0,10,0.6275887727737427,3.86268949508667,10,1,1.1740880012512207,0.00018101930618286133,False,12345
14,5,1,-4.0951387451495975,10,0.2,True,False,True,False,0.013546377420425415,-0.4562090039253235,0.7877575635910035,0.3311809331178665,0.8548489034175872,0.05638009924441576,0,0.0,0,0.0,10,0.5571425825357437,3.5667808055877686,10,0,1.044309377670288,0.0,False,12345
15,6,1,-3.9592428555479273,10,0.2,True,False,True,False,0.2095775455236435,0.05841398239135742,1.248682902753353,0.042033002525568006,0.3079040300101042,0.6663460612297059,4,2053.934814453125,0,0.0,10,0.615264043211937,3.4672799110412598,9,1,0.9830248951911926,0.00018864870071411133,False,12345
16,0,2,-4.092012268491089,8,0.16,True,False,True,False,0.04839484393596649,0.43398529291152954,1.671571034938097,-0.43673888593912125,1.26682910323143,0.007128406437459489,2,154.6649169921875,0,0.0,9,0.6356172785162926,3.754503011703491,8,0,1.1266400814056396,0.0,False,12345
17,1,2,-4.032404859317467,9,0.18,True,False,True,False,0.13246354460716248,-0.32669180631637573,1.3810632361306086,0.43926012847158646,0.8821854723824395,0.0673582121833331,2,1023.0035400390625,0,0.0,10,0.615572859843572,3.6278562545776367,9,0,1.0710954666137695,0.0,False,12345
18,2,2,-4.3551584049128,9,0.18,True,False,True,False,0.0,0.0,1.4755066318644419,-0.17392179038789538,0.8726910485161675,0.16832788199988297,0,0.0,0,0.0,11,0.5881270368893942,3.700086832046509,9,0,1.1027741432189941,0.0,False,12345
