update,iteration_index,adaptive_learning_rate_start,adaptive_learning_rate_end,adaptive_learning_rate_min,adaptive_learning_rate_max,kl_mean,kl_max,minibatch_count,current_log_prob_mean,old_log_prob_mean,log_ratio_mean,log_ratio_abs_max,ratio_clip_fraction,surrogate_loss,value_loss,entropy_loss,total_loss,gradient_norm,transitions,terminated_ratio,primary_fall_ratio,timeout_ratio,completed_episode_length_mean,completed_episode_return_mean,raw_action_abs_mean,raw_action_abs_p90,policy_mean_abs_mean,policy_std_mean,target_limit_violation_steps,target_limit_max_excess_rad,actual_limit_violation_steps,actual_limit_max_excess_rad
1,0,0.001,0.001,0.001,0.001,,,0,,,,,,-0.05573120340704918,0.2772371768951416,-41.161190032958984,-0.10778353363275528,0.7244240641593933,1536,0.0,0.0,0.0,,,0.7987291812896729,1.6374530792236328,0.07982709258794785,1.0,1433,1.327872633934021,186,0.015742599964141846
2,1,1e-05,1e-05,1e-05,1e-05,,,0,,,,,,-0.04217309504747391,4.127711772918701,-41.1565055847168,3.7562854290008545,3.6358330249786377,3072,0.03515625,0.03515625,0.0,38.18518518518518,-6.886292435239862,0.8049586415290833,1.656193733215332,0.09160038828849792,1.0003912448883057,1414,1.4829490184783936,321,0.013952374458312988
3,2,0.00011390625000000006,0.00011390625000000006,0.00011390625000000006,0.00011390625000000006,,,0,,,,,,-0.05562080815434456,1.203454613685608,-41.14467239379883,0.8186764717102051,2.8270328044891357,4608,0.01171875,0.01171875,0.0,44.05555555555556,-7.342822271651694,0.7985594272613525,1.6506495475769043,0.09807603806257248,1.000138521194458,1432,1.4906970262527466,255,0.021567106246948242
4,3,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,1.5000000000000005e-05,,,0,,,,,,-0.04083429276943207,1.1756912469863892,-41.144859313964844,0.8056980967521667,4.675840377807617,6144,0.03125,0.03125,0.0,42.020833333333336,-7.14931270439178,0.803878664970398,1.6486057043075562,0.10986480116844177,0.9996829628944397,1423,1.1530027389526367,235,0.008910894393920898
5,4,0.00011390625000000006,0.00011390625000000006,0.00011390625000000006,0.00011390625000000006,,,0,,,,,,-0.060678232461214066,0.8030557036399841,-41.16278076171875,0.4130752980709076,3.405463457107544,7680,0.0234375,0.0234375,0.0,41.72222222222222,-7.05397904250357,0.8107014894485474,1.668882966041565,0.1220950335264206,1.0002273321151733,1432,1.3971836566925049,260,0.010644197463989258
6,5,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,,,0,,,,,,-0.04225972294807434,0.7683436274528503,-41.17074203491211,0.3967178761959076,4.467494964599609,9216,0.022135416666666668,0.022135416666666668,0.0,42.8235294117647,-7.184298532955786,0.8087228536605835,1.6624834537506104,0.12888838350772858,1.000654697418213,1426,1.4269901514053345,270,0.007709503173828125
7,6,5.0625000000000024e-05,5.0625000000000024e-05,5.0625000000000024e-05,5.0625000000000024e-05,,,0,,,,,,-0.054359953850507736,0.541736900806427,-41.17096710205078,0.15800920128822327,3.6208484172821045,10752,0.0234375,0.0234375,0.0,41.52777777777778,-7.655099093930589,0.8078840970993042,1.6722609996795654,0.13937027752399445,1.0009009838104248,1437,1.4175912141799927,277,0.011689484119415283
8,7,3.3750000000000014e-05,3.3750000000000014e-05,3.3750000000000014e-05,3.3750000000000014e-05,,,0,,,,,,-0.05011235550045967,0.3473469018936157,-41.15949249267578,-0.03204139694571495,2.8626856803894043,12288,0.024088541666666668,0.024088541666666668,0.0,42.21621621621622,-7.451508308133564,0.8118658065795898,1.6762895584106445,0.14201025664806366,1.0006788969039917,1434,1.4602662324905396,277,0.011387050151824951
9,8,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,,,0,,,,,,-0.051006805151700974,0.22078727185726166,-41.146263122558594,-0.1593896895647049,2.5067803859710693,13824,0.024088541666666668,0.024088541666666668,0.0,42.08108108108108,-7.488591799768242,0.8170762062072754,1.6937832832336426,0.14862753450870514,1.000091314315796,1443,1.137704610824585,279,0.013353705406188965
10,9,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,2.2500000000000008e-05,,,0,,,,,,-0.053623657673597336,0.1586059033870697,-41.13822555541992,-0.22412362694740295,1.7817646265029907,15360,0.025390625,0.025390625,0.0,41.43589743589744,-6.965200511171267,0.8090569376945496,1.6646679639816284,0.152059406042099,0.9998279213905334,1442,1.4429088830947876,275,0.010500192642211914
