minibatch,epoch,batch_in_epoch,samples,kl_timing,kl_mean,kl_max,analytic_kl_mean,kl_formula_max_abs_error,old_log_prob_mean,current_log_prob_mean,log_prob_max_abs_change,clip_fraction,policy_mean_abs_mean,policy_std_mean,policy_std_min,policy_std_max,lr_scalar_before_kl,lr_scalar_after_kl_before_step,lr_group_before_kl,lr_group_after_kl_before_step,grad_norm_preclip,param_delta_max_abs,param_delta_l2,lr_scalar_after_step,lr_group_after_step
1,1,1,384,before_current_optimizer_step,0.00029039912624284625,0.00029087066650390625,3.259629011154175e-09,0.0002905130386352539,5.711175441741943,5.711174011230469,0.0012187957763671875,0.0,0.07592076063156128,0.20000001788139343,0.20000000298023224,0.20000000298023224,0.001,0.0015,0.001,0.0015,5.244750022888184,0.0015030056238174438,0.5845638304107421,0.0015,0.0015
2,1,2,384,before_current_optimizer_step,0.5000784397125244,1.794912338256836,0.4997880160808563,0.00029081106185913086,5.462371826171875,4.898953914642334,6.961030006408691,0.8489583730697632,0.07922820001840591,0.2001521736383438,0.1984969973564148,0.20149698853492737,0.0015,0.001,0.0015,0.001,5.949143409729004,0.001003161072731018,0.25084761702475605,0.001,0.001
3,1,3,384,before_current_optimizer_step,0.8074392080307007,3.103510856628418,0.8071486353874207,0.00029098987579345703,5.28046989440918,4.5734686851501465,6.339674949645996,0.875,0.08371440321207047,0.20029067993164062,0.19749383628368378,0.20249177515506744,0.001,0.0006666666666666666,0.001,0.0006666666666666666,8.227287292480469,0.0006696730852127075,0.13918887047511802,0.0006666666666666666,0.0006666666666666666
4,1,4,384,before_current_optimizer_step,1.0603774785995483,3.5053577423095703,1.060086965560913,0.00029098987579345703,5.4826765060424805,4.4092278480529785,7.4959211349487305,0.8880208730697632,0.08502605557441711,0.20036372542381287,0.19687950611114502,0.20315483212471008,0.0006666666666666666,0.0004444444444444444,0.0006666666666666666,0.0004444444444444444,8.59054946899414,0.0004470963031053543,0.0827997247291006,0.0004444444444444444,0.0004444444444444444
5,2,1,384,before_current_optimizer_step,1.3047244548797607,4.04684591293335,1.3044339418411255,0.00029093027114868164,5.711175441741943,4.498960494995117,14.164623260498047,0.9140625,0.08825776726007462,0.2004513293504715,0.19648435711860657,0.20350012183189392,0.0004444444444444444,0.0002962962962962963,0.0004444444444444444,0.0002962962962962963,1.2343158721923828,0.00029934197664260864,0.054699716910291706,0.0002962962962962963,0.0002962962962962963
6,2,2,384,before_current_optimizer_step,1.2611089944839478,4.555960655212402,1.2608187198638916,0.0002906322479248047,5.462371826171875,3.947941541671753,11.520641326904297,0.9322916865348816,0.08780141919851303,0.20051360130310059,0.1962091028690338,0.2036896049976349,0.0002962962962962963,0.00019753086419753085,0.0002962962962962963,0.00019753086419753085,1.9770374298095703,0.00019835680723190308,0.03486766735521109,0.00019753086419753085,0.00019753086419753085
7,2,3,384,before_current_optimizer_step,1.1953089237213135,4.424746990203857,1.1950187683105469,0.0002906322479248047,5.28046989440918,4.135171413421631,8.126363754272461,0.8932291865348816,0.08807391673326492,0.20055854320526123,0.19604314863681793,0.20383892953395844,0.00019753086419753085,0.0001316872427983539,0.00019753086419753085,0.0001316872427983539,2.5235519409179688,0.00013103755190968513,0.02244391946284316,0.0001316872427983539,0.0001316872427983539
8,2,4,384,before_current_optimizer_step,1.2707405090332031,4.630703449249268,1.2704505920410156,0.0002903938293457031,5.4826765060424805,4.152433395385742,8.734325408935547,0.8828125,0.08710324019193649,0.20059199631214142,0.19593268632888794,0.20394547283649445,0.0001316872427983539,8.77914951989026e-05,0.0001316872427983539,8.77914951989026e-05,2.8045196533203125,8.808821439743042e-05,0.014400625819911838,8.77914951989026e-05,8.77914951989026e-05
9,3,1,384,before_current_optimizer_step,1.3775599002838135,4.537407875061035,1.377269983291626,0.0002903938293457031,5.711175441741943,4.44826602935791,13.959705352783203,0.9401041865348816,0.08903604000806808,0.20061452686786652,0.1958734393119812,0.20402167737483978,8.77914951989026e-05,5.852766346593506e-05,8.77914951989026e-05,5.852766346593506e-05,0.8116836547851562,5.893968045711517e-05,0.009757728819548887,5.852766346593506e-05,5.852766346593506e-05
10,3,2,384,before_current_optimizer_step,1.28197181224823,4.5166778564453125,1.2816815376281738,0.00029087066650390625,5.462371826171875,3.936669111251831,11.906465530395508,0.9088541865348816,0.08808168023824692,0.20063190162181854,0.19585475325584412,0.20406903326511383,5.852766346593506e-05,3.9018442310623374e-05,5.852766346593506e-05,3.9018442310623374e-05,1.7519874572753906,3.9771199226379395e-05,0.006619463675651219,3.9018442310623374e-05,3.9018442310623374e-05
