episode_id,env_id,env_episode_id,episode_return,episode_length,velocity_tracking_error,velocity_tracking,base_contact,timeout,fall,terminated,truncated,actual_forward_distance,actual_velocity,mean_speed_xy,command_mode,seed
0,7,0,-3.975292682647705,3,0.41825902462005615,0.49681946635246277,True,False,True,True,False,-0.009362440556287766,-0.20194467902183533,0.31056100130081177,original,12345
1,1,0,-3.946138381958008,4,0.6814132332801819,0.15924446284770966,True,False,True,True,False,-0.01973787695169449,-0.12585745751857758,0.3294880986213684,original,12345
2,5,0,-3.981472969055176,4,0.8125088810920715,0.07171471416950226,True,False,True,True,False,-0.024928074330091476,-0.3400621712207794,0.4388526678085327,original,12345
3,0,0,-4.007580757141113,5,0.9751702547073364,0.023745769634842873,True,False,True,True,False,0.006148252636194229,0.11164116114377975,0.5511302947998047,original,12345
4,2,0,-3.9351251125335693,5,0.3875679075717926,0.5753862857818604,True,False,True,True,False,0.01146654225885868,0.19963714480400085,0.3035244047641754,original,12345
5,3,0,-3.906766414642334,5,0.4031146168708801,0.5241252779960632,True,False,True,True,False,-0.022577114403247833,-0.49319419264793396,0.5113868117332458,original,12345
6,6,0,-3.884974956512451,6,0.22212988138198853,0.8204478025436401,True,False,True,True,False,-0.005207125097513199,-0.0032124656718224287,0.03774772584438324,original,12345
7,1,1,-3.9708919525146484,4,0.4882095456123352,0.3854808807373047,True,False,True,True,False,0.03915783017873764,0.4866946041584015,0.4882095754146576,original,12345
8,0,1,-3.9478759765625,4,0.5313012599945068,0.3303253948688507,True,False,True,True,False,0.02473580092191696,0.22463062405586243,0.23083001375198364,original,12345
9,2,1,-3.9742226600646973,4,0.8018890619277954,0.07904945313930511,True,False,True,True,False,0.024190204218029976,0.30374768376350403,0.3776050806045532,original,12345
10,4,0,-3.8700649738311768,10,0.8477358222007751,0.07530547678470612,True,False,True,True,False,-0.06353463232517242,0.21293893456459045,0.594753086566925,original,12345
11,0,2,-3.9350311756134033,3,0.32764026522636414,0.6509031057357788,True,False,True,True,False,-0.0006811562925577164,-0.02331477403640747,0.4497600495815277,original,12345
12,1,2,-4.004520893096924,4,0.6748595833778381,0.16351759433746338,True,False,True,True,False,0.0430430993437767,0.5330320596694946,0.6748595833778381,original,12345
13,6,1,-3.857076644897461,6,0.3435320258140564,0.623664379119873,True,False,True,True,False,0.004173026420176029,0.1880308985710144,0.33450591564178467,original,12345
14,2,2,-3.9471497535705566,4,0.8088301420211792,0.07614237070083618,True,False,True,True,False,0.027144813910126686,0.23454728722572327,0.36470040678977966,original,12345
15,4,1,-3.9585931301116943,4,0.3611665964126587,0.5936550498008728,True,False,True,True,False,-0.01073775440454483,-0.23574161529541016,0.23994804918766022,original,12345
16,6,2,-3.9625368118286133,3,0.2477518618106842,0.7813605666160583,True,False,True,True,False,-0.00896824337542057,-0.22991719841957092,0.5784875154495239,original,12345
17,7,1,-3.960662841796875,12,0.8116657137870789,0.08198550343513489,True,False,True,True,False,-0.008503399789333344,0.42950987815856934,0.5023738741874695,original,12345
18,3,1,-3.8636462688446045,11,0.5120435357093811,0.35641252994537354,True,False,True,True,False,0.03378657251596451,0.3680863082408905,0.6688487529754639,original,12345
19,5,1,-3.940197229385376,12,0.5676671266555786,0.2940405011177063,True,False,True,True,False,-0.01483205333352089,0.11025933921337128,0.28054699301719666,original,12345
20,0,3,-3.8828248977661133,5,0.19364166259765625,0.8546048998832703,True,False,True,True,False,0.015961993485689163,0.13035057485103607,0.585311233997345,original,12345
21,2,3,-3.969764471054077,4,0.4244413375854492,0.4865359365940094,True,False,True,True,False,0.006040188483893871,-0.07170867174863815,0.42444130778312683,original,12345
22,4,2,-4.010307788848877,4,0.9505523443222046,0.02798730880022049,True,False,True,True,False,0.060917604714632034,0.5091347694396973,0.5305498242378235,original,12345
23,6,3,-3.916661262512207,4,0.12674809992313385,0.9336326122283936,True,False,True,True,False,-0.003313095076009631,-0.08062869310379028,0.12674808502197266,original,12345
24,7,2,-3.9064407348632812,5,0.3811319172382355,0.5594357848167419,True,False,True,True,False,0.02553563378751278,0.21818573772907257,0.42386943101882935,original,12345
25,1,3,-3.9404964447021484,10,0.831555962562561,0.06382767856121063,True,False,True,True,False,0.0068482644855976105,0.3845655918121338,0.6702542304992676,original,12345
26,3,2,-3.9450550079345703,7,0.42798957228660583,0.4810808300971985,True,False,True,True,False,0.012046314775943756,0.28262946009635925,0.3880579173564911,original,12345
27,4,3,-3.885748863220215,7,0.743329644203186,0.11320526897907257,True,False,True,True,False,-0.061711303889751434,-0.3450525104999542,0.3465867340564728,original,12345
28,7,3,-3.849882125854492,5,0.11531529575586319,0.9432582855224609,True,False,True,True,False,0.023202966898679733,0.13185064494609833,0.13717243075370789,original,12345
29,5,2,-3.885068655014038,10,0.34603843092918396,0.6175960898399353,True,False,True,True,False,0.01493267621845007,0.4064846634864807,0.4268203675746918,original,12345
30,3,3,-3.8532495498657227,6,0.4559941291809082,0.43672388792037964,True,False,True,True,False,0.06662493944168091,0.5676435232162476,0.6094346046447754,original,12345
31,5,3,-3.983306884765625,3,0.5438846945762634,0.30695053935050964,True,False,True,True,False,-0.012936966493725777,-0.2750433385372162,0.29776620864868164,original,12345
