wall_time,gpu_index,memory_used_MiB,memory_total_MiB,utilization_percent
2026-09-22T11:07:17.181501,0,162,8151,0
2026-09-22T11:07:22.201636,0,394,8151,0
2026-09-22T11:07:27.221625,0,510,8151,0
2026-09-22T11:07:32.242027,0,2722,8151,14
2026-09-22T11:07:37.260932,0,2736,8151,40
2026-09-22T11:07:42.279240,0,2736,8151,41
2026-09-22T11:07:47.297676,0,2736,8151,45
2026-09-22T11:07:52.317785,0,2736,8151,38
2026-09-22T11:07:57.336525,0,2736,8151,40
2026-09-22T11:08:02.354265,0,2736,8151,40
2026-09-22T11:08:07.374818,0,2736,8151,45
2026-09-22T11:08:12.393421,0,2736,8151,43
2026-09-22T11:08:17.413051,0,2736,8151,36
2026-09-22T11:08:22.431911,0,2736,8151,36
2026-09-22T11:08:27.451190,0,2736,8151,42
2026-09-22T11:08:32.472181,0,2736,8151,25
2026-09-22T11:08:37.492285,0,2736,8151,43
2026-09-22T11:08:42.512548,0,2736,8151,44
2026-09-22T11:08:47.531193,0,2736,8151,27
2026-09-22T11:08:52.550180,0,2736,8151,42
2026-09-22T11:08:57.571151,0,2736,8151,40
2026-09-22T11:09:02.589630,0,2736,8151,40
2026-09-22T11:09:07.610311,0,2736,8151,38
2026-09-22T11:09:12.630017,0,2736,8151,40
2026-09-22T11:09:17.649181,0,2736,8151,40
2026-09-22T11:09:22.667463,0,2736,8151,31
2026-09-22T11:09:27.686095,0,2736,8151,40
2026-09-22T11:09:32.706037,0,2736,8151,40
2026-09-22T11:09:37.726318,0,2736,8151,41
2026-09-22T11:09:42.745821,0,2736,8151,41
2026-09-22T11:09:47.765167,0,2736,8151,37
2026-09-22T11:09:52.784387,0,2736,8151,43
2026-09-22T11:09:57.804860,0,2736,8151,45
2026-09-22T11:10:02.823639,0,2736,8151,37
2026-09-22T11:10:07.841897,0,2736,8151,36
2026-09-22T11:10:12.861615,0,2736,8151,41
2026-09-22T11:10:17.880515,0,2736,8151,25
2026-09-22T11:10:22.899073,0,2736,8151,40
2026-09-22T11:10:27.918760,0,2736,8151,32
2026-09-22T11:10:32.938935,0,2736,8151,40
